Prediction,Reference,Freq
Allergen,Allergen,566
Autoimm,Allergen,83
Cancer,Allergen,12
Infectious_Disease,Allergen,40
Other,Allergen,76
Transplant,Allergen,0
Allergen,Autoimm,9
Autoimm,Autoimm,1781
Cancer,Autoimm,24
Infectious_Disease,Autoimm,193
Other,Autoimm,246
Transplant,Autoimm,1
Allergen,Cancer,2
Autoimm,Cancer,52
Cancer,Cancer,1943
Infectious_Disease,Cancer,90
Other,Cancer,108
Transplant,Cancer,0
Allergen,Infectious_Disease,6
Autoimm,Infectious_Disease,118
Cancer,Infectious_Disease,88
Infectious_Disease,Infectious_Disease,4989
Other,Infectious_Disease,294
Transplant,Infectious_Disease,0
Allergen,Other,8
Autoimm,Other,128
Cancer,Other,117
Infectious_Disease,Other,247
Other,Other,1817
Transplant,Other,5
Allergen,Transplant,2
Autoimm,Transplant,41
Cancer,Transplant,23
Infectious_Disease,Transplant,67
Other,Transplant,121
Transplant,Transplant,87
