Prediction,Reference,Freq
Allergen,Allergen,32
Autoimm,Allergen,2
Cancer,Allergen,0
Infectious_Disease,Allergen,1
Other,Allergen,4
Transplant,Allergen,1
Allergen,Autoimm,2
Autoimm,Autoimm,29
Cancer,Autoimm,0
Infectious_Disease,Autoimm,1
Other,Autoimm,7
Transplant,Autoimm,1
Allergen,Cancer,0
Autoimm,Cancer,2
Cancer,Cancer,34
Infectious_Disease,Cancer,1
Other,Cancer,3
Transplant,Cancer,0
Allergen,Infectious_Disease,0
Autoimm,Infectious_Disease,1
Cancer,Infectious_Disease,2
Infectious_Disease,Infectious_Disease,34
Other,Infectious_Disease,3
Transplant,Infectious_Disease,0
Allergen,Other,0
Autoimm,Other,3
Cancer,Other,3
Infectious_Disease,Other,3
Other,Other,29
Transplant,Other,2
Allergen,Transplant,0
Autoimm,Transplant,0
Cancer,Transplant,1
Infectious_Disease,Transplant,1
Other,Transplant,3
Transplant,Transplant,35
