Prediction,Reference,Freq
Diabetes,Diabetes,262
General_Autoimm,Diabetes,6
Lupus,Diabetes,0
Multiple_Sclerosis,Diabetes,1
RA,Diabetes,0
Diabetes,General_Autoimm,16
General_Autoimm,General_Autoimm,719
Lupus,General_Autoimm,27
Multiple_Sclerosis,General_Autoimm,20
RA,General_Autoimm,22
Diabetes,Lupus,1
General_Autoimm,Lupus,23
Lupus,Lupus,227
Multiple_Sclerosis,Lupus,0
RA,Lupus,3
Diabetes,Multiple_Sclerosis,3
General_Autoimm,Multiple_Sclerosis,28
Lupus,Multiple_Sclerosis,2
Multiple_Sclerosis,Multiple_Sclerosis,347
RA,Multiple_Sclerosis,2
Diabetes,RA,0
General_Autoimm,RA,30
Lupus,RA,3
Multiple_Sclerosis,RA,1
RA,RA,238
