Prediction,Reference,Freq
CEA,CEA,34
GLIO,CEA,0
HER2,CEA,0
LEU,CEA,0
LEWIS,CEA,1
MAA,CEA,0
MAGE,CEA,0
MISC,CEA,0
MUCIN,CEA,0
MULTI,CEA,0
NEO,CEA,0
NYESO,CEA,0
OTC,CEA,8
P53,CEA,0
P815,CEA,0
PROS,CEA,0
RAS,CEA,0
RENAL,CEA,0
TERT,CEA,0
TN,CEA,0
WT1,CEA,0
CEA,GLIO,0
GLIO,GLIO,20
HER2,GLIO,1
LEU,GLIO,0
LEWIS,GLIO,0
MAA,GLIO,1
MAGE,GLIO,0
MISC,GLIO,1
MUCIN,GLIO,0
MULTI,GLIO,0
NEO,GLIO,3
NYESO,GLIO,0
OTC,GLIO,5
P53,GLIO,0
P815,GLIO,0
PROS,GLIO,0
RAS,GLIO,0
RENAL,GLIO,1
TERT,GLIO,0
TN,GLIO,0
WT1,GLIO,1
CEA,HER2,1
GLIO,HER2,0
HER2,HER2,89
LEU,HER2,0
LEWIS,HER2,0
MAA,HER2,1
MAGE,HER2,1
MISC,HER2,4
MUCIN,HER2,2
MULTI,HER2,0
NEO,HER2,1
NYESO,HER2,0
OTC,HER2,39
P53,HER2,0
P815,HER2,0
PROS,HER2,1
RAS,HER2,0
RENAL,HER2,0
TERT,HER2,0
TN,HER2,0
WT1,HER2,1
CEA,LEU,0
GLIO,LEU,0
HER2,LEU,0
LEU,LEU,99
LEWIS,LEU,0
MAA,LEU,0
MAGE,LEU,1
MISC,LEU,1
MUCIN,LEU,2
MULTI,LEU,0
NEO,LEU,0
NYESO,LEU,0
OTC,LEU,16
P53,LEU,0
P815,LEU,0
PROS,LEU,1
RAS,LEU,0
RENAL,LEU,0
TERT,LEU,0
TN,LEU,0
WT1,LEU,0
CEA,LEWIS,1
GLIO,LEWIS,0
HER2,LEWIS,1
LEU,LEWIS,1
LEWIS,LEWIS,38
MAA,LEWIS,0
MAGE,LEWIS,0
MISC,LEWIS,0
MUCIN,LEWIS,3
MULTI,LEWIS,0
NEO,LEWIS,0
NYESO,LEWIS,0
OTC,LEWIS,16
P53,LEWIS,0
P815,LEWIS,0
PROS,LEWIS,1
RAS,LEWIS,0
RENAL,LEWIS,0
TERT,LEWIS,0
TN,LEWIS,2
WT1,LEWIS,0
CEA,MAA,0
GLIO,MAA,0
HER2,MAA,1
LEU,MAA,1
LEWIS,MAA,0
MAA,MAA,265
MAGE,MAA,1
MISC,MAA,2
MUCIN,MAA,3
MULTI,MAA,0
NEO,MAA,6
NYESO,MAA,2
OTC,MAA,103
P53,MAA,0
P815,MAA,0
PROS,MAA,2
RAS,MAA,0
RENAL,MAA,0
TERT,MAA,1
TN,MAA,0
WT1,MAA,0
CEA,MAGE,0
GLIO,MAGE,0
HER2,MAGE,0
LEU,MAGE,2
LEWIS,MAGE,0
MAA,MAGE,11
MAGE,MAGE,40
MISC,MAGE,0
MUCIN,MAGE,0
MULTI,MAGE,0
NEO,MAGE,0
NYESO,MAGE,0
OTC,MAGE,5
P53,MAGE,0
P815,MAGE,0
PROS,MAGE,1
RAS,MAGE,0
RENAL,MAGE,0
TERT,MAGE,0
TN,MAGE,0
WT1,MAGE,0
CEA,MISC,0
GLIO,MISC,2
HER2,MISC,2
LEU,MISC,3
LEWIS,MISC,0
MAA,MISC,7
MAGE,MISC,0
MISC,MISC,71
MUCIN,MISC,0
MULTI,MISC,0
NEO,MISC,1
NYESO,MISC,1
OTC,MISC,33
P53,MISC,4
P815,MISC,0
PROS,MISC,1
RAS,MISC,0
RENAL,MISC,0
TERT,MISC,0
TN,MISC,0
WT1,MISC,0
CEA,MUCIN,2
GLIO,MUCIN,0
HER2,MUCIN,1
LEU,MUCIN,2
LEWIS,MUCIN,0
MAA,MUCIN,3
MAGE,MUCIN,0
MISC,MUCIN,0
MUCIN,MUCIN,92
MULTI,MUCIN,0
NEO,MUCIN,0
NYESO,MUCIN,0
OTC,MUCIN,7
P53,MUCIN,0
P815,MUCIN,0
PROS,MUCIN,0
RAS,MUCIN,0
RENAL,MUCIN,0
TERT,MUCIN,0
TN,MUCIN,3
WT1,MUCIN,0
CEA,MULTI,1
GLIO,MULTI,0
HER2,MULTI,0
LEU,MULTI,3
LEWIS,MULTI,0
MAA,MULTI,8
MAGE,MULTI,3
MISC,MULTI,0
MUCIN,MULTI,0
MULTI,MULTI,0
NEO,MULTI,0
NYESO,MULTI,0
OTC,MULTI,10
P53,MULTI,2
P815,MULTI,0
PROS,MULTI,0
RAS,MULTI,0
RENAL,MULTI,1
TERT,MULTI,1
TN,MULTI,0
WT1,MULTI,0
CEA,NEO,0
GLIO,NEO,0
HER2,NEO,1
LEU,NEO,1
LEWIS,NEO,0
MAA,NEO,7
MAGE,NEO,0
MISC,NEO,1
MUCIN,NEO,2
MULTI,NEO,0
NEO,NEO,87
NYESO,NEO,0
OTC,NEO,26
P53,NEO,0
P815,NEO,0
PROS,NEO,0
RAS,NEO,2
RENAL,NEO,0
TERT,NEO,0
TN,NEO,0
WT1,NEO,0
CEA,NYESO,0
GLIO,NYESO,0
HER2,NYESO,1
LEU,NYESO,1
LEWIS,NYESO,0
MAA,NYESO,1
MAGE,NYESO,0
MISC,NYESO,0
MUCIN,NYESO,0
MULTI,NYESO,0
NEO,NYESO,0
NYESO,NYESO,46
OTC,NYESO,0
P53,NYESO,0
P815,NYESO,0
PROS,NYESO,1
RAS,NYESO,0
RENAL,NYESO,0
TERT,NYESO,0
TN,NYESO,0
WT1,NYESO,0
CEA,OTC,1
GLIO,OTC,0
HER2,OTC,6
LEU,OTC,16
LEWIS,OTC,3
MAA,OTC,29
MAGE,OTC,2
MISC,OTC,3
MUCIN,OTC,6
MULTI,OTC,0
NEO,OTC,8
NYESO,OTC,0
OTC,OTC,501
P53,OTC,2
P815,OTC,0
PROS,OTC,0
RAS,OTC,1
RENAL,OTC,0
TERT,OTC,0
TN,OTC,0
WT1,OTC,0
CEA,P53,0
GLIO,P53,0
HER2,P53,1
LEU,P53,0
LEWIS,P53,0
MAA,P53,2
MAGE,P53,1
MISC,P53,0
MUCIN,P53,0
MULTI,P53,0
NEO,P53,0
NYESO,P53,0
OTC,P53,14
P53,P53,28
P815,P53,0
PROS,P53,0
RAS,P53,0
RENAL,P53,0
TERT,P53,0
TN,P53,0
WT1,P53,0
CEA,P815,0
GLIO,P815,0
HER2,P815,0
LEU,P815,0
LEWIS,P815,0
MAA,P815,1
MAGE,P815,0
MISC,P815,0
MUCIN,P815,0
MULTI,P815,0
NEO,P815,0
NYESO,P815,0
OTC,P815,4
P53,P815,0
P815,P815,0
PROS,P815,0
RAS,P815,0
RENAL,P815,0
TERT,P815,0
TN,P815,0
WT1,P815,0
CEA,PROS,0
GLIO,PROS,0
HER2,PROS,0
LEU,PROS,0
LEWIS,PROS,0
MAA,PROS,0
MAGE,PROS,0
MISC,PROS,0
MUCIN,PROS,0
MULTI,PROS,0
NEO,PROS,0
NYESO,PROS,0
OTC,PROS,9
P53,PROS,0
P815,PROS,0
PROS,PROS,73
RAS,PROS,0
RENAL,PROS,0
TERT,PROS,0
TN,PROS,0
WT1,PROS,0
CEA,RAS,0
GLIO,RAS,0
HER2,RAS,0
LEU,RAS,0
LEWIS,RAS,0
MAA,RAS,0
MAGE,RAS,0
MISC,RAS,1
MUCIN,RAS,1
MULTI,RAS,0
NEO,RAS,0
NYESO,RAS,0
OTC,RAS,4
P53,RAS,0
P815,RAS,0
PROS,RAS,0
RAS,RAS,6
RENAL,RAS,0
TERT,RAS,0
TN,RAS,0
WT1,RAS,0
CEA,RENAL,0
GLIO,RENAL,0
HER2,RENAL,0
LEU,RENAL,0
LEWIS,RENAL,0
MAA,RENAL,1
MAGE,RENAL,0
MISC,RENAL,0
MUCIN,RENAL,1
MULTI,RENAL,0
NEO,RENAL,0
NYESO,RENAL,0
OTC,RENAL,19
P53,RENAL,0
P815,RENAL,0
PROS,RENAL,0
RAS,RENAL,0
RENAL,RENAL,3
TERT,RENAL,0
TN,RENAL,0
WT1,RENAL,0
CEA,TERT,1
GLIO,TERT,0
HER2,TERT,0
LEU,TERT,1
LEWIS,TERT,0
MAA,TERT,1
MAGE,TERT,1
MISC,TERT,3
MUCIN,TERT,1
MULTI,TERT,0
NEO,TERT,0
NYESO,TERT,0
OTC,TERT,16
P53,TERT,0
P815,TERT,0
PROS,TERT,0
RAS,TERT,0
RENAL,TERT,0
TERT,TERT,15
TN,TERT,0
WT1,TERT,0
CEA,TN,0
GLIO,TN,0
HER2,TN,0
LEU,TN,0
LEWIS,TN,2
MAA,TN,0
MAGE,TN,0
MISC,TN,0
MUCIN,TN,7
MULTI,TN,0
NEO,TN,0
NYESO,TN,0
OTC,TN,11
P53,TN,0
P815,TN,0
PROS,TN,0
RAS,TN,0
RENAL,TN,0
TERT,TN,0
TN,TN,52
WT1,TN,0
CEA,WT1,0
GLIO,WT1,0
HER2,WT1,1
LEU,WT1,0
LEWIS,WT1,0
MAA,WT1,1
MAGE,WT1,0
MISC,WT1,0
MUCIN,WT1,0
MULTI,WT1,0
NEO,WT1,0
NYESO,WT1,0
OTC,WT1,5
P53,WT1,0
P815,WT1,0
PROS,WT1,0
RAS,WT1,0
RENAL,WT1,0
TERT,WT1,0
TN,WT1,0
WT1,WT1,41
