Prediction,Reference,Freq
GANG,GANG,18
GLYC,GANG,0
GUAN,GANG,0
METAL,GANG,0
OTGAL,GANG,4
PROST,GANG,0
STER,GANG,0
GANG,GLYC,1
GLYC,GLYC,9
GUAN,GLYC,0
METAL,GLYC,0
OTGAL,GLYC,7
PROST,GLYC,0
STER,GLYC,1
GANG,GUAN,0
GLYC,GUAN,0
GUAN,GUAN,6
METAL,GUAN,0
OTGAL,GUAN,5
PROST,GUAN,0
STER,GUAN,0
GANG,METAL,0
GLYC,METAL,0
GUAN,METAL,2
METAL,METAL,1
OTGAL,METAL,2
PROST,METAL,0
STER,METAL,0
GANG,OTGAL,1
GLYC,OTGAL,0
GUAN,OTGAL,0
METAL,OTGAL,0
OTGAL,OTGAL,22
PROST,OTGAL,0
STER,OTGAL,0
GANG,PROST,0
GLYC,PROST,0
GUAN,PROST,0
METAL,PROST,0
OTGAL,PROST,1
PROST,PROST,1
STER,PROST,0
GANG,STER,0
GLYC,STER,0
GUAN,STER,0
METAL,STER,0
OTGAL,STER,3
PROST,STER,0
STER,STER,6
