Prediction,Reference,Freq
GAD,GAD,52
HSPDB,GAD,0
IA2,GAD,0
IGRP,GAD,0
INSULIN,GAD,4
OTDB,GAD,10
VARDB,GAD,0
GAD,HSPDB,0
HSPDB,HSPDB,4
IA2,HSPDB,0
IGRP,HSPDB,0
INSULIN,HSPDB,0
OTDB,HSPDB,2
VARDB,HSPDB,0
GAD,IA2,1
HSPDB,IA2,0
IA2,IA2,4
IGRP,IA2,0
INSULIN,IA2,0
OTDB,IA2,1
VARDB,IA2,0
GAD,IGRP,0
HSPDB,IGRP,0
IA2,IGRP,0
IGRP,IGRP,7
INSULIN,IGRP,0
OTDB,IGRP,2
VARDB,IGRP,0
GAD,INSULIN,5
HSPDB,INSULIN,0
IA2,INSULIN,0
IGRP,INSULIN,0
INSULIN,INSULIN,67
OTDB,INSULIN,11
VARDB,INSULIN,0
GAD,OTDB,3
HSPDB,OTDB,0
IA2,OTDB,0
IGRP,OTDB,3
INSULIN,OTDB,12
OTDB,OTDB,71
VARDB,OTDB,0
GAD,VARDB,5
HSPDB,VARDB,0
IA2,VARDB,1
IGRP,VARDB,0
INSULIN,VARDB,3
OTDB,VARDB,2
VARDB,VARDB,0
