Prediction,Reference,Freq
CHLA,CHLA,40
CLOS,CHLA,0
LIST,CHLA,2
OTB,CHLA,1
OTBAC,CHLA,0
SPIRO,CHLA,0
STAPH,CHLA,0
STREP,CHLA,0
CHLA,CLOS,0
CLOS,CLOS,73
LIST,CLOS,0
OTB,CLOS,7
OTBAC,CLOS,0
SPIRO,CLOS,0
STAPH,CLOS,1
STREP,CLOS,2
CHLA,LIST,0
CLOS,LIST,0
LIST,LIST,39
OTB,LIST,1
OTBAC,LIST,0
SPIRO,LIST,0
STAPH,LIST,0
STREP,LIST,0
CHLA,OTB,3
CLOS,OTB,7
LIST,OTB,1
OTB,OTB,67
OTBAC,OTB,6
SPIRO,OTB,0
STAPH,OTB,0
STREP,OTB,5
CHLA,OTBAC,0
CLOS,OTBAC,3
LIST,OTBAC,0
OTB,OTBAC,1
OTBAC,OTBAC,30
SPIRO,OTBAC,0
STAPH,OTBAC,0
STREP,OTBAC,3
CHLA,SPIRO,0
CLOS,SPIRO,0
LIST,SPIRO,1
OTB,SPIRO,1
OTBAC,SPIRO,0
SPIRO,SPIRO,38
STAPH,SPIRO,0
STREP,SPIRO,0
CHLA,STAPH,0
CLOS,STAPH,0
LIST,STAPH,0
OTB,STAPH,3
OTBAC,STAPH,0
SPIRO,STAPH,0
STAPH,STAPH,41
STREP,STAPH,1
CHLA,STREP,1
CLOS,STREP,3
LIST,STREP,0
OTB,STREP,1
OTBAC,STREP,0
SPIRO,STREP,0
STAPH,STREP,0
STREP,STREP,121
