Prediction,Reference,Freq
CONTRA,CONTRA,36
EAM,CONTRA,0
HAEM,CONTRA,0
IFN,CONTRA,0
IRBP,CONTRA,0
LIV,CONTRA,0
OTGA,CONTRA,13
PDT,CONTRA,0
PEMP,CONTRA,0
TYR,CONTRA,0
CONTRA,EAM,0
EAM,EAM,8
HAEM,EAM,0
IFN,EAM,0
IRBP,EAM,0
LIV,EAM,0
OTGA,EAM,11
PDT,EAM,0
PEMP,EAM,0
TYR,EAM,0
CONTRA,HAEM,0
EAM,HAEM,0
HAEM,HAEM,51
IFN,HAEM,0
IRBP,HAEM,0
LIV,HAEM,0
OTGA,HAEM,7
PDT,HAEM,0
PEMP,HAEM,0
TYR,HAEM,0
CONTRA,IFN,0
EAM,IFN,0
HAEM,IFN,0
IFN,IFN,5
IRBP,IFN,0
LIV,IFN,0
OTGA,IFN,6
PDT,IFN,0
PEMP,IFN,0
TYR,IFN,0
CONTRA,IRBP,0
EAM,IRBP,0
HAEM,IRBP,0
IFN,IRBP,0
IRBP,IRBP,51
LIV,IRBP,0
OTGA,IRBP,4
PDT,IRBP,0
PEMP,IRBP,0
TYR,IRBP,0
CONTRA,LIV,0
EAM,LIV,0
HAEM,LIV,0
IFN,LIV,0
IRBP,LIV,0
LIV,LIV,28
OTGA,LIV,5
PDT,LIV,0
PEMP,LIV,0
TYR,LIV,0
CONTRA,OTGA,2
EAM,OTGA,2
HAEM,OTGA,2
IFN,OTGA,0
IRBP,OTGA,5
LIV,OTGA,6
OTGA,OTGA,478
PDT,OTGA,0
PEMP,OTGA,1
TYR,OTGA,2
CONTRA,PDT,0
EAM,PDT,0
HAEM,PDT,1
IFN,PDT,0
IRBP,PDT,0
LIV,PDT,0
OTGA,PDT,8
PDT,PDT,0
PEMP,PDT,0
TYR,PDT,0
CONTRA,PEMP,0
EAM,PEMP,0
HAEM,PEMP,0
IFN,PEMP,0
IRBP,PEMP,0
LIV,PEMP,0
OTGA,PEMP,1
PDT,PEMP,0
PEMP,PEMP,24
TYR,PEMP,0
CONTRA,TYR,0
EAM,TYR,0
HAEM,TYR,0
IFN,TYR,0
IRBP,TYR,0
LIV,TYR,0
OTGA,TYR,0
PDT,TYR,0
PEMP,TYR,0
TYR,TYR,47
