Prediction,Reference,Freq
Actinobacteria_Proteobacteria,Actinobacteria_Proteobacteria,516
Eukaryota,Actinobacteria_Proteobacteria,23
Firmicutes-Other_Bacteria,Actinobacteria_Proteobacteria,22
Other_Virus,Actinobacteria_Proteobacteria,0
Retro-Transcribing_Virus,Actinobacteria_Proteobacteria,0
dsDNA_Virus,Actinobacteria_Proteobacteria,10
ssRNA_negative,Actinobacteria_Proteobacteria,15
ssRNA_positive,Actinobacteria_Proteobacteria,14
Actinobacteria_Proteobacteria,Eukaryota,22
Eukaryota,Eukaryota,782
Firmicutes-Other_Bacteria,Eukaryota,15
Other_Virus,Eukaryota,0
Retro-Transcribing_Virus,Eukaryota,2
dsDNA_Virus,Eukaryota,15
ssRNA_negative,Eukaryota,13
ssRNA_positive,Eukaryota,14
Actinobacteria_Proteobacteria,Firmicutes-Other_Bacteria,39
Eukaryota,Firmicutes-Other_Bacteria,21
Firmicutes-Other_Bacteria,Firmicutes-Other_Bacteria,407
Other_Virus,Firmicutes-Other_Bacteria,0
Retro-Transcribing_Virus,Firmicutes-Other_Bacteria,0
dsDNA_Virus,Firmicutes-Other_Bacteria,6
ssRNA_negative,Firmicutes-Other_Bacteria,7
ssRNA_positive,Firmicutes-Other_Bacteria,5
Actinobacteria_Proteobacteria,Other_Virus,5
Eukaryota,Other_Virus,5
Firmicutes-Other_Bacteria,Other_Virus,2
Other_Virus,Other_Virus,37
Retro-Transcribing_Virus,Other_Virus,0
dsDNA_Virus,Other_Virus,9
ssRNA_negative,Other_Virus,4
ssRNA_positive,Other_Virus,44
Actinobacteria_Proteobacteria,Retro-Transcribing_Virus,2
Eukaryota,Retro-Transcribing_Virus,9
Firmicutes-Other_Bacteria,Retro-Transcribing_Virus,0
Other_Virus,Retro-Transcribing_Virus,0
Retro-Transcribing_Virus,Retro-Transcribing_Virus,244
dsDNA_Virus,Retro-Transcribing_Virus,17
ssRNA_negative,Retro-Transcribing_Virus,10
ssRNA_positive,Retro-Transcribing_Virus,34
Actinobacteria_Proteobacteria,dsDNA_Virus,7
Eukaryota,dsDNA_Virus,9
Firmicutes-Other_Bacteria,dsDNA_Virus,3
Other_Virus,dsDNA_Virus,0
Retro-Transcribing_Virus,dsDNA_Virus,0
dsDNA_Virus,dsDNA_Virus,796
ssRNA_negative,dsDNA_Virus,26
ssRNA_positive,dsDNA_Virus,57
Actinobacteria_Proteobacteria,ssRNA_negative,9
Eukaryota,ssRNA_negative,13
Firmicutes-Other_Bacteria,ssRNA_negative,5
Other_Virus,ssRNA_negative,1
Retro-Transcribing_Virus,ssRNA_negative,1
dsDNA_Virus,ssRNA_negative,36
ssRNA_negative,ssRNA_negative,859
ssRNA_positive,ssRNA_negative,63
Actinobacteria_Proteobacteria,ssRNA_positive,4
Eukaryota,ssRNA_positive,4
Firmicutes-Other_Bacteria,ssRNA_positive,0
Other_Virus,ssRNA_positive,1
Retro-Transcribing_Virus,ssRNA_positive,1
dsDNA_Virus,ssRNA_positive,13
ssRNA_negative,ssRNA_positive,6
ssRNA_positive,ssRNA_positive,1304
