Prediction,Reference,Freq
ABS,ABS,0
APL,ABS,3
DNA,ABS,3
HIS,ABS,0
OTLUP,ABS,3
SM,ABS,1
SSA,ABS,1
SSB,ABS,0
ABS,APL,0
APL,APL,113
DNA,APL,1
HIS,APL,0
OTLUP,APL,11
SM,APL,1
SSA,APL,0
SSB,APL,0
ABS,DNA,0
APL,DNA,5
DNA,DNA,14
HIS,DNA,0
OTLUP,DNA,7
SM,DNA,0
SSA,DNA,0
SSB,DNA,0
ABS,HIS,0
APL,HIS,0
DNA,HIS,1
HIS,HIS,6
OTLUP,HIS,2
SM,HIS,0
SSA,HIS,0
SSB,HIS,0
ABS,OTLUP,0
APL,OTLUP,10
DNA,OTLUP,3
HIS,OTLUP,0
OTLUP,OTLUP,31
SM,OTLUP,0
SSA,OTLUP,2
SSB,OTLUP,1
ABS,SM,0
APL,SM,0
DNA,SM,0
HIS,SM,0
OTLUP,SM,6
SM,SM,16
SSA,SM,0
SSB,SM,0
ABS,SSA,0
APL,SSA,0
DNA,SSA,0
HIS,SSA,0
OTLUP,SSA,0
SM,SSA,1
SSA,SSA,7
SSB,SSA,0
ABS,SSB,0
APL,SSB,0
DNA,SSB,0
HIS,SSB,0
OTLUP,SSB,3
SM,SSB,0
SSA,SSB,0
SSB,SSB,2
