Prediction,Reference,Freq
AZOB,AZOB,18
CLIP,AZOB,0
FITC,AZOB,0
LYS,AZOB,0
MYO,AZOB,0
NITRO,AZOB,0
OTDNP,AZOB,6
OVA,AZOB,0
OXA,AZOB,0
PCYT,AZOB,0
PHOS,AZOB,0
AZOB,CLIP,0
CLIP,CLIP,2
FITC,CLIP,0
LYS,CLIP,0
MYO,CLIP,0
NITRO,CLIP,0
OTDNP,CLIP,0
OVA,CLIP,0
OXA,CLIP,0
PCYT,CLIP,1
PHOS,CLIP,0
AZOB,FITC,0
CLIP,FITC,0
FITC,FITC,7
LYS,FITC,0
MYO,FITC,0
NITRO,FITC,0
OTDNP,FITC,9
OVA,FITC,0
OXA,FITC,0
PCYT,FITC,0
PHOS,FITC,1
AZOB,LYS,0
CLIP,LYS,0
FITC,LYS,0
LYS,LYS,48
MYO,LYS,0
NITRO,LYS,0
OTDNP,LYS,0
OVA,LYS,2
OXA,LYS,0
PCYT,LYS,1
PHOS,LYS,0
AZOB,MYO,0
CLIP,MYO,0
FITC,MYO,0
LYS,MYO,0
MYO,MYO,16
NITRO,MYO,0
OTDNP,MYO,2
OVA,MYO,0
OXA,MYO,0
PCYT,MYO,0
PHOS,MYO,0
AZOB,NITRO,0
CLIP,NITRO,0
FITC,NITRO,0
LYS,NITRO,0
MYO,NITRO,0
NITRO,NITRO,17
OTDNP,NITRO,3
OVA,NITRO,0
OXA,NITRO,0
PCYT,NITRO,0
PHOS,NITRO,0
AZOB,OTDNP,0
CLIP,OTDNP,0
FITC,OTDNP,0
LYS,OTDNP,0
MYO,OTDNP,0
NITRO,OTDNP,2
OTDNP,OTDNP,130
OVA,OTDNP,2
OXA,OTDNP,0
PCYT,OTDNP,0
PHOS,OTDNP,0
AZOB,OVA,0
CLIP,OVA,0
FITC,OVA,0
LYS,OVA,0
MYO,OVA,0
NITRO,OVA,0
OTDNP,OVA,4
OVA,OVA,9
OXA,OVA,0
PCYT,OVA,0
PHOS,OVA,0
AZOB,OXA,0
CLIP,OXA,0
FITC,OXA,0
LYS,OXA,0
MYO,OXA,0
NITRO,OXA,2
OTDNP,OXA,2
OVA,OXA,0
OXA,OXA,3
PCYT,OXA,0
PHOS,OXA,0
AZOB,PCYT,0
CLIP,PCYT,0
FITC,PCYT,0
LYS,PCYT,0
MYO,PCYT,0
NITRO,PCYT,0
OTDNP,PCYT,0
OVA,PCYT,0
OXA,PCYT,0
PCYT,PCYT,28
PHOS,PCYT,0
AZOB,PHOS,0
CLIP,PHOS,0
FITC,PHOS,0
LYS,PHOS,0
MYO,PHOS,0
NITRO,PHOS,0
OTDNP,PHOS,6
OVA,PHOS,0
OXA,PHOS,0
PCYT,PHOS,0
PHOS,PHOS,8
