Prediction,Reference,Freq
Ac1-9,Ac1-9,5
MBP,Ac1-9,8
MBP78,Ac1-9,0
MOG,Ac1-9,1
OTMS,Ac1-9,0
P139,Ac1-9,0
PLP,Ac1-9,0
TCR,Ac1-9,0
VARMS,Ac1-9,0
Ac1-9,MBP,0
MBP,MBP,85
MBP78,MBP,4
MOG,MBP,7
OTMS,MBP,0
P139,MBP,0
PLP,MBP,0
TCR,MBP,0
VARMS,MBP,0
Ac1-9,MBP78,0
MBP,MBP78,35
MBP78,MBP78,9
MOG,MBP78,2
OTMS,MBP78,0
P139,MBP78,0
PLP,MBP78,0
TCR,MBP78,0
VARMS,MBP78,0
Ac1-9,MOG,0
MBP,MOG,1
MBP78,MOG,0
MOG,MOG,122
OTMS,MOG,0
P139,MOG,0
PLP,MOG,0
TCR,MOG,0
VARMS,MOG,0
Ac1-9,OTMS,0
MBP,OTMS,15
MBP78,OTMS,0
MOG,OTMS,8
OTMS,OTMS,6
P139,OTMS,0
PLP,OTMS,0
TCR,OTMS,0
VARMS,OTMS,0
Ac1-9,P139,0
MBP,P139,2
MBP78,P139,0
MOG,P139,7
OTMS,P139,0
P139,P139,24
PLP,P139,1
TCR,P139,0
VARMS,P139,0
Ac1-9,PLP,0
MBP,PLP,2
MBP78,PLP,0
MOG,PLP,2
OTMS,PLP,0
P139,PLP,6
PLP,PLP,7
TCR,PLP,0
VARMS,PLP,0
Ac1-9,TCR,0
MBP,TCR,8
MBP78,TCR,0
MOG,TCR,0
OTMS,TCR,0
P139,TCR,0
PLP,TCR,0
TCR,TCR,1
VARMS,TCR,0
Ac1-9,VARMS,0
MBP,VARMS,7
MBP78,VARMS,0
MOG,VARMS,6
OTMS,VARMS,0
P139,VARMS,1
PLP,VARMS,0
TCR,VARMS,0
VARMS,VARMS,0
