Prediction,Reference,Freq
Chemical,Chemical,4
Model_Antigen,Chemical,5
Other,Chemical,13
Peptidic_Antigen,Chemical,42
Role,Chemical,16
Technique_Based,Chemical,11
Chemical,Model_Antigen,0
Model_Antigen,Model_Antigen,224
Other,Model_Antigen,11
Peptidic_Antigen,Model_Antigen,52
Role,Model_Antigen,8
Technique_Based,Model_Antigen,30
Chemical,Other,0
Model_Antigen,Other,28
Other,Other,108
Peptidic_Antigen,Other,96
Role,Other,52
Technique_Based,Other,67
Chemical,Peptidic_Antigen,0
Model_Antigen,Peptidic_Antigen,8
Other,Peptidic_Antigen,21
Peptidic_Antigen,Peptidic_Antigen,475
Role,Peptidic_Antigen,20
Technique_Based,Peptidic_Antigen,109
Chemical,Role,0
Model_Antigen,Role,5
Other,Role,34
Peptidic_Antigen,Role,57
Role,Role,152
Technique_Based,Role,12
Chemical,Technique_Based,0
Model_Antigen,Technique_Based,6
Other,Technique_Based,11
Peptidic_Antigen,Technique_Based,103
Role,Technique_Based,2
Technique_Based,Technique_Based,523
