Prediction,Reference,Freq
BOT,BOT,33
FIB,BOT,0
INTG,BOT,0
INTL,BOT,0
LIPO,BOT,0
MOAB,BOT,42
TOT,BOT,13
BOT,FIB,0
FIB,FIB,0
INTG,FIB,0
INTL,FIB,0
LIPO,FIB,0
MOAB,FIB,5
TOT,FIB,0
BOT,INTG,0
FIB,INTG,0
INTG,INTG,0
INTL,INTG,0
LIPO,INTG,0
MOAB,INTG,4
TOT,INTG,0
BOT,INTL,0
FIB,INTL,0
INTG,INTL,0
INTL,INTL,0
LIPO,INTL,0
MOAB,INTL,7
TOT,INTL,0
BOT,LIPO,0
FIB,LIPO,0
INTG,LIPO,0
INTL,LIPO,0
LIPO,LIPO,0
MOAB,LIPO,3
TOT,LIPO,0
BOT,MOAB,19
FIB,MOAB,0
INTG,MOAB,0
INTL,MOAB,0
LIPO,MOAB,0
MOAB,MOAB,265
TOT,MOAB,17
BOT,TOT,6
FIB,TOT,0
INTG,TOT,0
INTL,TOT,0
LIPO,TOT,0
MOAB,TOT,33
TOT,TOT,188
