Prediction,Reference,Freq
C260,C260,5
CCP,C260,1
CII,C260,9
HC,C260,0
HSPRA,C260,0
OTRA,C260,0
RAM,C260,0
RF,C260,0
C260,CCP,0
CCP,CCP,125
CII,CCP,1
HC,CCP,0
HSPRA,CCP,0
OTRA,CCP,5
RAM,CCP,0
RF,CCP,0
C260,CII,1
CCP,CII,3
CII,CII,41
HC,CII,0
HSPRA,CII,0
OTRA,CII,1
RAM,CII,0
RF,CII,0
C260,HC,0
CCP,HC,2
CII,HC,0
HC,HC,0
HSPRA,HC,0
OTRA,HC,7
RAM,HC,0
RF,HC,0
C260,HSPRA,0
CCP,HSPRA,1
CII,HSPRA,2
HC,HSPRA,0
HSPRA,HSPRA,8
OTRA,HSPRA,3
RAM,HSPRA,0
RF,HSPRA,0
C260,OTRA,0
CCP,OTRA,13
CII,OTRA,5
HC,OTRA,0
HSPRA,OTRA,0
OTRA,OTRA,25
RAM,OTRA,0
RF,OTRA,0
C260,RAM,0
CCP,RAM,2
CII,RAM,2
HC,RAM,0
HSPRA,RAM,1
OTRA,RAM,0
RAM,RAM,0
RF,RAM,0
C260,RF,0
CCP,RF,0
CII,RF,1
HC,RF,0
HSPRA,RF,0
OTRA,RF,3
RAM,RF,0
RF,RF,6
