Prediction,Reference,Freq
ABIOT,ABIOT,2
FOOD,ABIOT,0
HERB,ABIOT,10
HORM,ABIOT,1
MED,ABIOT,0
PSYC,ABIOT,0
SEX,ABIOT,0
ABIOT,FOOD,0
FOOD,FOOD,0
HERB,FOOD,6
HORM,FOOD,0
MED,FOOD,0
PSYC,FOOD,1
SEX,FOOD,0
ABIOT,HERB,0
FOOD,HERB,0
HERB,HERB,76
HORM,HERB,1
MED,HERB,1
PSYC,HERB,2
SEX,HERB,0
ABIOT,HORM,0
FOOD,HORM,0
HERB,HORM,3
HORM,HORM,30
MED,HORM,0
PSYC,HORM,1
SEX,HORM,1
ABIOT,MED,0
FOOD,MED,0
HERB,MED,19
HORM,MED,2
MED,MED,17
PSYC,MED,5
SEX,MED,0
ABIOT,PSYC,0
FOOD,PSYC,0
HERB,PSYC,7
HORM,PSYC,1
MED,PSYC,7
PSYC,PSYC,37
SEX,PSYC,1
ABIOT,SEX,0
FOOD,SEX,0
HERB,SEX,11
HORM,SEX,5
MED,SEX,0
PSYC,SEX,0
SEX,SEX,15
