Prediction,Reference,Freq
BLOOD,BLOOD,27
GAL,BLOOD,3
GVH,BLOOD,0
HY,BLOOD,0
MHC,BLOOD,3
MINOR,BLOOD,0
OTTRAN,BLOOD,0
PEP,BLOOD,1
THRO,BLOOD,0
XENO,BLOOD,0
BLOOD,GAL,4
GAL,GAL,63
GVH,GAL,1
HY,GAL,0
MHC,GAL,2
MINOR,GAL,0
OTTRAN,GAL,0
PEP,GAL,0
THRO,GAL,0
XENO,GAL,0
BLOOD,GVH,0
GAL,GVH,0
GVH,GVH,4
HY,GVH,0
MHC,GVH,3
MINOR,GVH,4
OTTRAN,GVH,0
PEP,GVH,7
THRO,GVH,0
XENO,GVH,0
BLOOD,HY,1
GAL,HY,0
GVH,HY,0
HY,HY,11
MHC,HY,1
MINOR,HY,2
OTTRAN,HY,0
PEP,HY,2
THRO,HY,0
XENO,HY,0
BLOOD,MHC,0
GAL,MHC,0
GVH,MHC,0
HY,MHC,1
MHC,MHC,64
MINOR,MHC,0
OTTRAN,MHC,0
PEP,MHC,17
THRO,MHC,1
XENO,MHC,0
BLOOD,MINOR,0
GAL,MINOR,0
GVH,MINOR,0
HY,MINOR,1
MHC,MINOR,1
MINOR,MINOR,19
OTTRAN,MINOR,0
PEP,MINOR,1
THRO,MINOR,0
XENO,MINOR,0
BLOOD,OTTRAN,4
GAL,OTTRAN,2
GVH,OTTRAN,2
HY,OTTRAN,0
MHC,OTTRAN,3
MINOR,OTTRAN,0
OTTRAN,OTTRAN,0
PEP,OTTRAN,10
THRO,OTTRAN,1
XENO,OTTRAN,0
BLOOD,PEP,0
GAL,PEP,0
GVH,PEP,1
HY,PEP,0
MHC,PEP,9
MINOR,PEP,0
OTTRAN,PEP,0
PEP,PEP,49
THRO,PEP,0
XENO,PEP,0
BLOOD,THRO,0
GAL,THRO,1
GVH,THRO,0
HY,THRO,0
MHC,THRO,2
MINOR,THRO,0
OTTRAN,THRO,0
PEP,THRO,0
THRO,THRO,3
XENO,THRO,0
BLOOD,XENO,0
GAL,XENO,23
GVH,XENO,0
HY,XENO,0
MHC,XENO,4
MINOR,XENO,0
OTTRAN,XENO,0
PEP,XENO,4
THRO,XENO,0
XENO,XENO,0
