Prediction,Reference,Freq
Allergen,Allergen,658
Autoimm,Allergen,20
Cancer,Allergen,9
Infectious_Disease,Allergen,20
Other,Allergen,61
Transplant,Allergen,0
Allergen,Autoimm,6
Autoimm,Autoimm,1877
Cancer,Autoimm,23
Infectious_Disease,Autoimm,161
Other,Autoimm,183
Transplant,Autoimm,0
Allergen,Cancer,1
Autoimm,Cancer,30
Cancer,Cancer,2004
Infectious_Disease,Cancer,76
Other,Cancer,83
Transplant,Cancer,1
Allergen,Infectious_Disease,8
Autoimm,Infectious_Disease,73
Cancer,Infectious_Disease,67
Infectious_Disease,Infectious_Disease,5125
Other,Infectious_Disease,230
Transplant,Infectious_Disease,2
Allergen,Other,12
Autoimm,Other,107
Cancer,Other,109
Infectious_Disease,Other,230
Other,Other,1855
Transplant,Other,9
Allergen,Transplant,1
Autoimm,Transplant,24
Cancer,Transplant,23
Infectious_Disease,Transplant,49
Other,Transplant,97
Transplant,Transplant,150
