Prediction,Reference,Freq
Allergen,Allergen,644
Autoimm,Allergen,23
Cancer,Allergen,11
HIV,Allergen,0
Infectious_Disease,Allergen,36
Other,Allergen,58
Transplant,Allergen,0
Allergen,Autoimm,5
Autoimm,Autoimm,1886
Cancer,Autoimm,23
HIV,Autoimm,2
Infectious_Disease,Autoimm,151
Other,Autoimm,165
Transplant,Autoimm,1
Allergen,Cancer,3
Autoimm,Cancer,21
Cancer,Cancer,2029
HIV,Cancer,1
Infectious_Disease,Cancer,75
Other,Cancer,97
Transplant,Cancer,2
Allergen,HIV,0
Autoimm,HIV,5
Cancer,HIV,3
HIV,HIV,761
Infectious_Disease,HIV,56
Other,HIV,8
Transplant,HIV,0
Allergen,Infectious_Disease,7
Autoimm,Infectious_Disease,60
Cancer,Infectious_Disease,65
HIV,Infectious_Disease,14
Infectious_Disease,Infectious_Disease,5241
Other,Infectious_Disease,205
Transplant,Infectious_Disease,3
Allergen,Other,10
Autoimm,Other,115
Cancer,Other,102
HIV,Other,7
Infectious_Disease,Other,237
Other,Other,1838
Transplant,Other,8
Allergen,Transplant,1
Autoimm,Transplant,26
Cancer,Transplant,17
HIV,Transplant,2
Infectious_Disease,Transplant,61
Other,Transplant,100
Transplant,Transplant,158
