Prediction,Reference,Freq
ADE,ADE,36
AHERP,ADE,0
BHERP,ADE,5
GHERP,ADE,0
HPV,ADE,2
OTdsDNA,ADE,0
POX,ADE,0
SV40,ADE,0
ADE,AHERP,0
AHERP,AHERP,100
BHERP,AHERP,10
GHERP,AHERP,1
HPV,AHERP,2
OTdsDNA,AHERP,2
POX,AHERP,2
SV40,AHERP,0
ADE,BHERP,1
AHERP,BHERP,7
BHERP,BHERP,193
GHERP,BHERP,2
HPV,BHERP,7
OTdsDNA,BHERP,0
POX,BHERP,1
SV40,BHERP,0
ADE,GHERP,0
AHERP,GHERP,2
BHERP,GHERP,24
GHERP,GHERP,109
HPV,GHERP,4
OTdsDNA,GHERP,0
POX,GHERP,1
SV40,GHERP,0
ADE,HPV,1
AHERP,HPV,2
BHERP,HPV,9
GHERP,HPV,2
HPV,HPV,261
OTdsDNA,HPV,0
POX,HPV,0
SV40,HPV,1
ADE,OTdsDNA,5
AHERP,OTdsDNA,1
BHERP,OTdsDNA,7
GHERP,OTdsDNA,0
HPV,OTdsDNA,3
OTdsDNA,OTdsDNA,12
POX,OTdsDNA,0
SV40,OTdsDNA,1
ADE,POX,0
AHERP,POX,2
BHERP,POX,10
GHERP,POX,0
HPV,POX,2
OTdsDNA,POX,0
POX,POX,43
SV40,POX,0
ADE,SV40,0
AHERP,SV40,0
BHERP,SV40,2
GHERP,SV40,0
HPV,SV40,4
OTdsDNA,SV40,6
POX,SV40,0
SV40,SV40,3
