Prediction,Reference,Freq
ARA,ARA,28
BET,ARA,1
CED,ARA,0
GLUT,ARA,0
GRA,ARA,0
LAT,ARA,0
OTPLA,ARA,2
OTTREES,ARA,1
ARA,BET,0
BET,BET,17
CED,BET,0
GLUT,BET,0
GRA,BET,0
LAT,BET,0
OTPLA,BET,1
OTTREES,BET,0
ARA,CED,0
BET,CED,0
CED,CED,13
GLUT,CED,0
GRA,CED,0
LAT,CED,0
OTPLA,CED,2
OTTREES,CED,0
ARA,GLUT,1
BET,GLUT,0
CED,GLUT,0
GLUT,GLUT,81
GRA,GLUT,1
LAT,GLUT,0
OTPLA,GLUT,2
OTTREES,GLUT,0
ARA,GRA,0
BET,GRA,0
CED,GRA,0
GLUT,GRA,0
GRA,GRA,26
LAT,GRA,0
OTPLA,GRA,2
OTTREES,GRA,0
ARA,LAT,0
BET,LAT,0
CED,LAT,0
GLUT,LAT,0
GRA,LAT,0
LAT,LAT,6
OTPLA,LAT,0
OTTREES,LAT,0
ARA,OTPLA,1
BET,OTPLA,2
CED,OTPLA,0
GLUT,OTPLA,0
GRA,OTPLA,2
LAT,OTPLA,0
OTPLA,OTPLA,23
OTTREES,OTPLA,1
ARA,OTTREES,4
BET,OTTREES,1
CED,OTTREES,0
GLUT,OTTREES,0
GRA,OTTREES,0
LAT,OTTREES,1
OTPLA,OTTREES,8
OTTREES,OTTREES,7
