Prediction,Reference,Freq
H1N1,H1N1,2
H3N2,H1N1,0
OTFLU,H1N1,49
OTMON,H1N1,0
OTORTHOM,H1N1,0
OTssRNA-,H1N1,1
PARAV,H1N1,0
VSV,H1N1,0
H1N1,H3N2,1
H3N2,H3N2,1
OTFLU,H3N2,38
OTMON,H3N2,0
OTORTHOM,H3N2,0
OTssRNA-,H3N2,0
PARAV,H3N2,0
VSV,H3N2,0
H1N1,OTFLU,0
H3N2,OTFLU,0
OTFLU,OTFLU,494
OTMON,OTFLU,2
OTORTHOM,OTFLU,0
OTssRNA-,OTFLU,4
PARAV,OTFLU,3
VSV,OTFLU,2
H1N1,OTMON,0
H3N2,OTMON,0
OTFLU,OTMON,5
OTMON,OTMON,93
OTORTHOM,OTMON,0
OTssRNA-,OTMON,0
PARAV,OTMON,5
VSV,OTMON,1
H1N1,OTORTHOM,0
H3N2,OTORTHOM,0
OTFLU,OTORTHOM,9
OTMON,OTORTHOM,0
OTORTHOM,OTORTHOM,0
OTssRNA-,OTORTHOM,0
PARAV,OTORTHOM,0
VSV,OTORTHOM,0
H1N1,OTssRNA-,0
H3N2,OTssRNA-,0
OTFLU,OTssRNA-,18
OTMON,OTssRNA-,1
OTORTHOM,OTssRNA-,0
OTssRNA-,OTssRNA-,96
PARAV,OTssRNA-,3
VSV,OTssRNA-,0
H1N1,PARAV,0
H3N2,PARAV,0
OTFLU,PARAV,18
OTMON,PARAV,19
OTORTHOM,PARAV,0
OTssRNA-,PARAV,1
PARAV,PARAV,77
VSV,PARAV,0
H1N1,VSV,0
H3N2,VSV,0
OTFLU,VSV,7
OTMON,VSV,1
OTORTHOM,VSV,0
OTssRNA-,VSV,1
PARAV,VSV,1
VSV,VSV,39
