Var1,Var2,Freq
Class: Allergen,Sensitivity,0.825
Class: Autoimm,Sensitivity,0.7
Class: Cancer,Sensitivity,0.975
Class: Infectious_Disease,Sensitivity,0.85
Class: Other,Sensitivity,0.825
Class: Transplant,Sensitivity,0.775
Class: Allergen,Specificity,0.995
Class: Autoimm,Specificity,0.975
Class: Cancer,Specificity,0.95
Class: Infectious_Disease,Specificity,0.96
Class: Other,Specificity,0.93
Class: Transplant,Specificity,0.98
Class: Allergen,Pos Pred Value,0.9705882352941175
Class: Autoimm,Pos Pred Value,0.8484848484848483
Class: Cancer,Pos Pred Value,0.7959183673469385
Class: Infectious_Disease,Pos Pred Value,0.8095238095238093
Class: Other,Pos Pred Value,0.7021276595744682
Class: Transplant,Pos Pred Value,0.8857142857142856
Class: Allergen,Neg Pred Value,0.9660194174757282
Class: Autoimm,Neg Pred Value,0.9420289855072463
Class: Cancer,Neg Pred Value,0.9947643979057592
Class: Infectious_Disease,Neg Pred Value,0.9696969696969697
Class: Other,Neg Pred Value,0.9637305699481865
Class: Transplant,Neg Pred Value,0.9560975609756098
Class: Allergen,Precision,0.9705882352941176
Class: Autoimm,Precision,0.8484848484848485
Class: Cancer,Precision,0.7959183673469388
Class: Infectious_Disease,Precision,0.8095238095238095
Class: Other,Precision,0.7021276595744681
Class: Transplant,Precision,0.8857142857142857
Class: Allergen,Recall,0.825
Class: Autoimm,Recall,0.7
Class: Cancer,Recall,0.975
Class: Infectious_Disease,Recall,0.85
Class: Other,Recall,0.825
Class: Transplant,Recall,0.775
Class: Allergen,F1,0.8918918918918919
Class: Autoimm,F1,0.7671232876712328
Class: Cancer,F1,0.8764044943820225
Class: Infectious_Disease,F1,0.8292682926829269
Class: Other,F1,0.7586206896551724
Class: Transplant,F1,0.8266666666666667
Class: Allergen,Prevalence,0.16666666666666666
Class: Autoimm,Prevalence,0.16666666666666666
Class: Cancer,Prevalence,0.16666666666666666
Class: Infectious_Disease,Prevalence,0.16666666666666666
Class: Other,Prevalence,0.16666666666666666
Class: Transplant,Prevalence,0.16666666666666666
Class: Allergen,Detection Rate,0.1375
Class: Autoimm,Detection Rate,0.11666666666666667
Class: Cancer,Detection Rate,0.1625
Class: Infectious_Disease,Detection Rate,0.14166666666666666
Class: Other,Detection Rate,0.1375
Class: Transplant,Detection Rate,0.12916666666666668
Class: Allergen,Detection Prevalence,0.14166666666666666
Class: Autoimm,Detection Prevalence,0.1375
Class: Cancer,Detection Prevalence,0.20416666666666666
Class: Infectious_Disease,Detection Prevalence,0.175
Class: Other,Detection Prevalence,0.19583333333333333
Class: Transplant,Detection Prevalence,0.14583333333333334
Class: Allergen,Balanced Accuracy,0.9099999999999999
Class: Autoimm,Balanced Accuracy,0.8374999999999999
Class: Cancer,Balanced Accuracy,0.9624999999999999
Class: Infectious_Disease,Balanced Accuracy,0.905
Class: Other,Balanced Accuracy,0.8775
Class: Transplant,Balanced Accuracy,0.8775
