Var1,Var2,Freq
Class: CEA,Sensitivity,0.7906976744186046
Class: GLIO,Sensitivity,0.6060606060606061
Class: HER2,Sensitivity,0.6357142857142857
Class: LEU,Sensitivity,0.825
Class: LEWIS,Sensitivity,0.6031746031746031
Class: MAA,Sensitivity,0.6847545219638242
Class: MAGE,Sensitivity,0.6779661016949152
Class: MISC,Sensitivity,0.568
Class: MUCIN,Sensitivity,0.8363636363636363
Class: MULTI,Sensitivity,0
Class: NEO,Sensitivity,0.6850393700787402
Class: NYESO,Sensitivity,0.92
Class: OTC,Sensitivity,0.8667820069204152
Class: P53,Sensitivity,0.6086956521739131
Class: P815,Sensitivity,0
Class: PROS,Sensitivity,0.8902439024390244
Class: RAS,Sensitivity,0.5
Class: RENAL,Sensitivity,0.125
Class: TERT,Sensitivity,0.38461538461538464
Class: TN,Sensitivity,0.7222222222222222
Class: WT1,Sensitivity,0.8541666666666666
Class: CEA,Specificity,0.996742671009772
Class: GLIO,Specificity,0.999073645206114
Class: HER2,Specificity,0.9922027290448343
Class: LEU,Specificity,0.98503861003861
Class: LEWIS,Specificity,0.9971817754814467
Class: MAA,Specificity,0.9590027700831025
Class: MAGE,Specificity,0.9953117674636662
Class: MISC,Specificity,0.99225931301403
Class: MUCIN,Specificity,0.9865513928914506
Class: MULTI,Specificity,1
Class: NEO,Specificity,0.9907990314769975
Class: NYESO,Specificity,0.9985994397759104
Class: OTC,Specificity,0.7831474597273854
Class: P53,Specificity,0.9962721342031687
Class: P815,Specificity,1
Class: PROS,Specificity,0.9962085308056872
Class: RAS,Specificity,0.9986238532110092
Class: RENAL,Specificity,0.9990774907749077
Class: TERT,Specificity,0.9990710636321412
Class: TN,Specificity,0.9976415094339622
Class: WT1,Specificity,0.9990671641791045
Class: CEA,Pos Pred Value,0.8292682926829268
Class: GLIO,Pos Pred Value,0.9090909090909115
Class: HER2,Pos Pred Value,0.8476190476190476
Class: LEU,Pos Pred Value,0.7615384615384616
Class: LEWIS,Pos Pred Value,0.8636363636363645
Class: MAA,Pos Pred Value,0.7817109144542773
Class: MAGE,Pos Pred Value,0.8000000000000012
Class: MISC,Pos Pred Value,0.8160919540229893
Class: MUCIN,Pos Pred Value,0.7666666666666669
Class: MULTI,Pos Pred Value,NA
Class: NEO,Pos Pred Value,0.8207547169811317
Class: NYESO,Pos Pred Value,0.9387755102040819
Class: OTC,Pos Pred Value,0.5887191539365453
Class: P53,Pos Pred Value,0.77777777777778
Class: P815,Pos Pred Value,NA
Class: PROS,Pos Pred Value,0.9012345679012337
Class: RAS,Pos Pred Value,0.6666666666666734
Class: RENAL,Pos Pred Value,0.5999999999999889
Class: TERT,Pos Pred Value,0.8823529411764657
Class: TN,Pos Pred Value,0.9122807017543851
Class: WT1,Pos Pred Value,0.9534883720930225
Class: CEA,Neg Pred Value,0.99581589958159
Class: GLIO,Neg Pred Value,0.9940092165898617
Class: HER2,Neg Pred Value,0.975563009103977
Class: LEU,Neg Pred Value,0.9898157129000971
Class: LEWIS,Neg Pred Value,0.9883612662942273
Class: MAA,Neg Pred Value,0.9341608202914193
Class: MAGE,Neg Pred Value,0.9911297852474322
Class: MISC,Neg Pred Value,0.9743467933491686
Class: MUCIN,Neg Pred Value,0.9913127413127413
Class: MULTI,Neg Pred Value,0.9867700729927007
Class: NEO,Neg Pred Value,0.9808245445829338
Class: NYESO,Neg Pred Value,0.998133457769482
Class: OTC,Neg Pred Value,0.9425801640566741
Class: P53,Neg Pred Value,0.9916512059369202
Class: P815,Neg Pred Value,0.9977189781021898
Class: PROS,Neg Pred Value,0.995736617716722
Class: RAS,Neg Pred Value,0.9972514887769125
Class: RENAL,Neg Pred Value,0.99039780521262
Class: TERT,Neg Pred Value,0.9889655172413793
Class: TN,Neg Pred Value,0.990632318501171
Class: WT1,Neg Pred Value,0.996742671009772
Class: CEA,Precision,0.8292682926829268
Class: GLIO,Precision,0.9090909090909091
Class: HER2,Precision,0.8476190476190476
Class: LEU,Precision,0.7615384615384615
Class: LEWIS,Precision,0.8636363636363636
Class: MAA,Precision,0.7817109144542773
Class: MAGE,Precision,0.8
Class: MISC,Precision,0.8160919540229885
Class: MUCIN,Precision,0.7666666666666667
Class: MULTI,Precision,NA
Class: NEO,Precision,0.8207547169811321
Class: NYESO,Precision,0.9387755102040817
Class: OTC,Precision,0.5887191539365453
Class: P53,Precision,0.7777777777777778
Class: P815,Precision,NA
Class: PROS,Precision,0.9012345679012346
Class: RAS,Precision,0.6666666666666666
Class: RENAL,Precision,0.6
Class: TERT,Precision,0.8823529411764706
Class: TN,Precision,0.9122807017543859
Class: WT1,Precision,0.9534883720930233
Class: CEA,Recall,0.7906976744186046
Class: GLIO,Recall,0.6060606060606061
Class: HER2,Recall,0.6357142857142857
Class: LEU,Recall,0.825
Class: LEWIS,Recall,0.6031746031746031
Class: MAA,Recall,0.6847545219638242
Class: MAGE,Recall,0.6779661016949152
Class: MISC,Recall,0.568
Class: MUCIN,Recall,0.8363636363636363
Class: MULTI,Recall,0
Class: NEO,Recall,0.6850393700787402
Class: NYESO,Recall,0.92
Class: OTC,Recall,0.8667820069204152
Class: P53,Recall,0.6086956521739131
Class: P815,Recall,0
Class: PROS,Recall,0.8902439024390244
Class: RAS,Recall,0.5
Class: RENAL,Recall,0.125
Class: TERT,Recall,0.38461538461538464
Class: TN,Recall,0.7222222222222222
Class: WT1,Recall,0.8541666666666666
Class: CEA,F1,0.8095238095238095
Class: GLIO,F1,0.7272727272727273
Class: HER2,F1,0.7265306122448979
Class: LEU,F1,0.7919999999999999
Class: LEWIS,F1,0.7102803738317757
Class: MAA,F1,0.7300275482093664
Class: MAGE,F1,0.7339449541284404
Class: MISC,F1,0.669811320754717
Class: MUCIN,F1,0.8
Class: MULTI,F1,NA
Class: NEO,F1,0.7467811158798284
Class: NYESO,F1,0.9292929292929293
Class: OTC,F1,0.7011896431070679
Class: P53,F1,0.6829268292682927
Class: P815,F1,NA
Class: PROS,F1,0.8957055214723927
Class: RAS,F1,0.5714285714285715
Class: RENAL,F1,0.20689655172413793
Class: TERT,F1,0.5357142857142858
Class: TN,F1,0.8062015503875969
Class: WT1,F1,0.9010989010989011
Class: CEA,Prevalence,0.019616788321167884
Class: GLIO,Prevalence,0.015054744525547446
Class: HER2,Prevalence,0.06386861313868614
Class: LEU,Prevalence,0.05474452554744526
Class: LEWIS,Prevalence,0.02874087591240876
Class: MAA,Prevalence,0.17655109489051096
Class: MAGE,Prevalence,0.026916058394160582
Class: MISC,Prevalence,0.057025547445255474
Class: MUCIN,Prevalence,0.05018248175182482
Class: MULTI,Prevalence,0.01322992700729927
Class: NEO,Prevalence,0.05793795620437956
Class: NYESO,Prevalence,0.02281021897810219
Class: OTC,Prevalence,0.2636861313868613
Class: P53,Prevalence,0.020985401459854013
Class: P815,Prevalence,0.002281021897810219
Class: PROS,Prevalence,0.037408759124087594
Class: RAS,Prevalence,0.005474452554744526
Class: RENAL,Prevalence,0.010948905109489052
Class: TERT,Prevalence,0.017791970802919707
Class: TN,Prevalence,0.032846715328467155
Class: WT1,Prevalence,0.021897810218978103
Class: CEA,Detection Rate,0.01551094890510949
Class: GLIO,Detection Rate,0.009124087591240875
Class: HER2,Detection Rate,0.0406021897810219
Class: LEU,Detection Rate,0.045164233576642336
Class: LEWIS,Detection Rate,0.017335766423357664
Class: MAA,Detection Rate,0.1208941605839416
Class: MAGE,Detection Rate,0.01824817518248175
Class: MISC,Detection Rate,0.03239051094890511
Class: MUCIN,Detection Rate,0.041970802919708027
Class: MULTI,Detection Rate,0
Class: NEO,Detection Rate,0.03968978102189781
Class: NYESO,Detection Rate,0.020985401459854013
Class: OTC,Detection Rate,0.22855839416058393
Class: P53,Detection Rate,0.012773722627737226
Class: P815,Detection Rate,0
Class: PROS,Detection Rate,0.0333029197080292
Class: RAS,Detection Rate,0.002737226277372263
Class: RENAL,Detection Rate,0.0013686131386861315
Class: TERT,Detection Rate,0.006843065693430657
Class: TN,Detection Rate,0.023722627737226276
Class: WT1,Detection Rate,0.018704379562043797
Class: CEA,Detection Prevalence,0.018704379562043797
Class: GLIO,Detection Prevalence,0.010036496350364963
Class: HER2,Detection Prevalence,0.047901459854014596
Class: LEU,Detection Prevalence,0.05930656934306569
Class: LEWIS,Detection Prevalence,0.020072992700729927
Class: MAA,Detection Prevalence,0.15465328467153286
Class: MAGE,Detection Prevalence,0.02281021897810219
Class: MISC,Detection Prevalence,0.03968978102189781
Class: MUCIN,Detection Prevalence,0.05474452554744526
Class: MULTI,Detection Prevalence,0
Class: NEO,Detection Prevalence,0.048357664233576646
Class: NYESO,Detection Prevalence,0.022354014598540146
