Var1,Var2,Freq
Class: GAD,Sensitivity,0.7878787878787878
Class: HSPDB,Sensitivity,0.6666666666666666
Class: IA2,Sensitivity,0.6666666666666666
Class: IGRP,Sensitivity,0.7777777777777778
Class: INSULIN,Sensitivity,0.8072289156626506
Class: OTDB,Sensitivity,0.797752808988764
Class: VARDB,Sensitivity,0
Class: GAD,Specificity,0.9313725490196079
Class: HSPDB,Specificity,1
Class: IA2,Specificity,0.9962121212121212
Class: IGRP,Specificity,0.9885057471264368
Class: INSULIN,Specificity,0.8983957219251337
Class: OTDB,Specificity,0.8453038674033149
Class: VARDB,Specificity,1
Class: GAD,Pos Pred Value,0.7878787878787878
Class: HSPDB,Pos Pred Value,1
Class: IA2,Pos Pred Value,0.8
Class: IGRP,Pos Pred Value,0.7000000000000003
Class: INSULIN,Pos Pred Value,0.7790697674418605
Class: OTDB,Pos Pred Value,0.7171717171717171
Class: VARDB,Pos Pred Value,NA
Class: GAD,Neg Pred Value,0.9313725490196079
Class: HSPDB,Neg Pred Value,0.9924812030075187
Class: IA2,Neg Pred Value,0.9924528301886792
Class: IGRP,Neg Pred Value,0.9923076923076923
Class: INSULIN,Neg Pred Value,0.9130434782608696
Class: OTDB,Neg Pred Value,0.8947368421052632
Class: VARDB,Neg Pred Value,0.9592592592592593
Class: GAD,Precision,0.7878787878787878
Class: HSPDB,Precision,1
Class: IA2,Precision,0.8
Class: IGRP,Precision,0.7
Class: INSULIN,Precision,0.7790697674418605
Class: OTDB,Precision,0.7171717171717171
Class: VARDB,Precision,NA
Class: GAD,Recall,0.7878787878787878
Class: HSPDB,Recall,0.6666666666666666
Class: IA2,Recall,0.6666666666666666
Class: IGRP,Recall,0.7777777777777778
Class: INSULIN,Recall,0.8072289156626506
Class: OTDB,Recall,0.797752808988764
Class: VARDB,Recall,0
Class: GAD,F1,0.7878787878787878
Class: HSPDB,F1,0.8
Class: IA2,F1,0.7272727272727272
Class: IGRP,F1,0.7368421052631577
Class: INSULIN,F1,0.7928994082840237
Class: OTDB,F1,0.7553191489361702
Class: VARDB,F1,NA
Class: GAD,Prevalence,0.24444444444444444
Class: HSPDB,Prevalence,0.022222222222222223
Class: IA2,Prevalence,0.022222222222222223
Class: IGRP,Prevalence,0.03333333333333333
Class: INSULIN,Prevalence,0.3074074074074074
Class: OTDB,Prevalence,0.3296296296296296
Class: VARDB,Prevalence,0.040740740740740744
Class: GAD,Detection Rate,0.1925925925925926
Class: HSPDB,Detection Rate,0.014814814814814815
Class: IA2,Detection Rate,0.014814814814814815
Class: IGRP,Detection Rate,0.025925925925925925
Class: INSULIN,Detection Rate,0.24814814814814815
Class: OTDB,Detection Rate,0.26296296296296295
Class: VARDB,Detection Rate,0
Class: GAD,Detection Prevalence,0.24444444444444444
Class: HSPDB,Detection Prevalence,0.014814814814814815
Class: IA2,Detection Prevalence,0.018518518518518517
Class: IGRP,Detection Prevalence,0.037037037037037035
Class: INSULIN,Detection Prevalence,0.31851851851851853
Class: OTDB,Detection Prevalence,0.36666666666666664
Class: VARDB,Detection Prevalence,0
Class: GAD,Balanced Accuracy,0.8596256684491979
Class: HSPDB,Balanced Accuracy,0.8333333333333333
Class: IA2,Balanced Accuracy,0.8314393939393939
Class: IGRP,Balanced Accuracy,0.8831417624521073
Class: INSULIN,Balanced Accuracy,0.8528123187938922
Class: OTDB,Balanced Accuracy,0.8215283381960394
Class: VARDB,Balanced Accuracy,0.5
