Var1,Var2,Freq
Class: CHLA,Sensitivity,0.9302325581395349
Class: CLOS,Sensitivity,0.8795180722891566
Class: LIST,Sensitivity,0.975
Class: OTB,Sensitivity,0.7528089887640449
Class: OTBAC,Sensitivity,0.8108108108108109
Class: SPIRO,Sensitivity,0.95
Class: STAPH,Sensitivity,0.9111111111111111
Class: STREP,Sensitivity,0.9603174603174603
Class: CHLA,Specificity,0.991304347826087
Class: CLOS,Specificity,0.969047619047619
Class: LIST,Specificity,0.9913606911447084
Class: OTB,Specificity,0.9637681159420289
Class: OTBAC,Specificity,0.9871244635193133
Class: SPIRO,Specificity,1
Class: STAPH,Specificity,0.9978165938864629
Class: STREP,Specificity,0.9708222811671088
Class: CHLA,Pos Pred Value,0.9090909090909096
Class: CLOS,Pos Pred Value,0.8488372093023256
Class: LIST,Pos Pred Value,0.906976744186046
Class: OTB,Pos Pred Value,0.817073170731707
Class: OTBAC,Pos Pred Value,0.8333333333333328
Class: SPIRO,Pos Pred Value,1
Class: STAPH,Pos Pred Value,0.9761904761904767
Class: STREP,Pos Pred Value,0.9166666666666667
Class: CHLA,Neg Pred Value,0.9934640522875817
Class: CLOS,Neg Pred Value,0.9760191846522781
Class: LIST,Neg Pred Value,0.9978260869565218
Class: OTB,Neg Pred Value,0.9477434679334916
Class: OTBAC,Neg Pred Value,0.9850107066381156
Class: SPIRO,Neg Pred Value,0.9956989247311827
Class: STAPH,Neg Pred Value,0.9913232104121475
Class: STREP,Neg Pred Value,0.9865229110512129
Class: CHLA,Precision,0.9090909090909091
Class: CLOS,Precision,0.8488372093023255
Class: LIST,Precision,0.9069767441860465
Class: OTB,Precision,0.8170731707317073
Class: OTBAC,Precision,0.8333333333333334
Class: SPIRO,Precision,1
Class: STAPH,Precision,0.9761904761904762
Class: STREP,Precision,0.9166666666666666
Class: CHLA,Recall,0.9302325581395349
Class: CLOS,Recall,0.8795180722891566
Class: LIST,Recall,0.975
Class: OTB,Recall,0.7528089887640449
Class: OTBAC,Recall,0.8108108108108109
Class: SPIRO,Recall,0.95
Class: STAPH,Recall,0.9111111111111111
Class: STREP,Recall,0.9603174603174603
Class: CHLA,F1,0.9195402298850575
Class: CLOS,F1,0.863905325443787
Class: LIST,F1,0.9397590361445783
Class: OTB,F1,0.783625730994152
Class: OTBAC,F1,0.8219178082191781
Class: SPIRO,F1,0.9743589743589743
Class: STAPH,F1,0.9425287356321839
Class: STREP,F1,0.9379844961240309
Class: CHLA,Prevalence,0.08548707753479125
Class: CLOS,Prevalence,0.16500994035785288
Class: LIST,Prevalence,0.07952286282306163
Class: OTB,Prevalence,0.17693836978131214
Class: OTBAC,Prevalence,0.073558648111332
Class: SPIRO,Prevalence,0.07952286282306163
Class: STAPH,Prevalence,0.08946322067594434
Class: STREP,Prevalence,0.2504970178926441
Class: CHLA,Detection Rate,0.07952286282306163
Class: CLOS,Detection Rate,0.14512922465208747
Class: LIST,Detection Rate,0.0775347912524851
Class: OTB,Detection Rate,0.13320079522862824
Class: OTBAC,Detection Rate,0.05964214711729622
Class: SPIRO,Detection Rate,0.07554671968190854
Class: STAPH,Detection Rate,0.08151093439363817
Class: STREP,Detection Rate,0.24055666003976142
Class: CHLA,Detection Prevalence,0.0874751491053678
Class: CLOS,Detection Prevalence,0.1709741550695825
Class: LIST,Detection Prevalence,0.08548707753479125
Class: OTB,Detection Prevalence,0.16302186878727634
Class: OTBAC,Detection Prevalence,0.07157057654075547
Class: SPIRO,Detection Prevalence,0.07554671968190854
Class: STAPH,Detection Prevalence,0.08349900596421471
Class: STREP,Detection Prevalence,0.2624254473161034
Class: CHLA,Balanced Accuracy,0.9607684529828109
Class: CLOS,Balanced Accuracy,0.9242828456683878
Class: LIST,Balanced Accuracy,0.9831803455723542
Class: OTB,Balanced Accuracy,0.8582885523530369
Class: OTBAC,Balanced Accuracy,0.8989676371650621
Class: SPIRO,Balanced Accuracy,0.975
Class: STAPH,Balanced Accuracy,0.954463852498787
Class: STREP,Balanced Accuracy,0.9655698707422846
