Var1,Var2,Freq
Class: Actinobacteria_Proteobacteria,Sensitivity,0.86
Class: Eukaryota,Sensitivity,0.9061413673232909
Class: Firmicutes-Other_Bacteria,Sensitivity,0.8391752577319588
Class: Other_Virus,Sensitivity,0.3490566037735849
Class: Retro-Transcribing_Virus,Sensitivity,0.7721518987341772
Class: dsDNA_Virus,Sensitivity,0.8864142538975501
Class: ssRNA_negative,Sensitivity,0.8703140830800405
Class: ssRNA_positive,Sensitivity,0.978244561140285
Class: Actinobacteria_Proteobacteria,Specificity,0.9823576583801122
Class: Eukaryota,Specificity,0.9822222222222222
Class: Firmicutes-Other_Bacteria,Specificity,0.9907897315304722
Class: Other_Virus,Specificity,0.9996351696461145
Class: Retro-Transcribing_Virus,Specificity,0.9992412746585736
Class: dsDNA_Virus,Specificity,0.9773987206823028
Class: ssRNA_negative,Specificity,0.9823951314931537
Class: ssRNA_positive,Specificity,0.945710928319624
Class: Actinobacteria_Proteobacteria,Pos Pred Value,0.8543046357615892
Class: Eukaryota,Pos Pred Value,0.9030023094688221
Class: Firmicutes-Other_Bacteria,Pos Pred Value,0.8964757709251098
Class: Other_Virus,Pos Pred Value,0.9487179487179466
Class: Retro-Transcribing_Virus,Pos Pred Value,0.9838709677419355
Class: dsDNA_Virus,Pos Pred Value,0.8824833702882486
Class: ssRNA_negative,Pos Pred Value,0.9138297872340428
Class: ssRNA_positive,Pos Pred Value,0.8495114006514658
Class: Actinobacteria_Proteobacteria,Neg Pred Value,0.9831460674157303
Class: Eukaryota,Neg Pred Value,0.98284625158831
Class: Firmicutes-Other_Bacteria,Neg Pred Value,0.9848071679002727
Class: Other_Virus,Neg Pred Value,0.9875653270859615
Class: Retro-Transcribing_Virus,Neg Pred Value,0.9865168539325843
Class: dsDNA_Virus,Neg Pred Value,0.9782330345710628
Class: ssRNA_negative,Neg Pred Value,0.9724612736660929
Class: ssRNA_positive,Neg Pred Value,0.9928448063163089
Class: Actinobacteria_Proteobacteria,Precision,0.8543046357615894
Class: Eukaryota,Precision,0.9030023094688222
Class: Firmicutes-Other_Bacteria,Precision,0.8964757709251101
Class: Other_Virus,Precision,0.9487179487179487
Class: Retro-Transcribing_Virus,Precision,0.9838709677419355
Class: dsDNA_Virus,Precision,0.8824833702882483
Class: ssRNA_negative,Precision,0.9138297872340425
Class: ssRNA_positive,Precision,0.8495114006514658
Class: Actinobacteria_Proteobacteria,Recall,0.86
Class: Eukaryota,Recall,0.9061413673232909
Class: Firmicutes-Other_Bacteria,Recall,0.8391752577319588
Class: Other_Virus,Recall,0.3490566037735849
Class: Retro-Transcribing_Virus,Recall,0.7721518987341772
Class: dsDNA_Virus,Recall,0.8864142538975501
Class: ssRNA_negative,Recall,0.8703140830800405
Class: ssRNA_positive,Recall,0.978244561140285
Class: Actinobacteria_Proteobacteria,F1,0.8571428571428571
Class: Eukaryota,F1,0.9045691150954308
Class: Firmicutes-Other_Bacteria,F1,0.8668796592119276
Class: Other_Virus,F1,0.5103448275862069
Class: Retro-Transcribing_Virus,F1,0.8652482269503546
Class: dsDNA_Virus,F1,0.8844444444444444
Class: ssRNA_negative,F1,0.8915412558380903
Class: ssRNA_positive,F1,0.909344490934449
Class: Actinobacteria_Proteobacteria,Prevalence,0.1073729420186113
Class: Eukaryota,Prevalence,0.15443808160343594
Class: Firmicutes-Other_Bacteria,Prevalence,0.0867931281317108
Class: Other_Virus,Prevalence,0.01896921975662133
Class: Retro-Transcribing_Virus,Prevalence,0.05654974946313529
Class: dsDNA_Virus,Prevalence,0.16070150322118826
Class: ssRNA_negative,Prevalence,0.17662848962061561
Class: ssRNA_positive,Prevalence,0.23854688618468145
Class: Actinobacteria_Proteobacteria,Detection Rate,0.09234073013600573
Class: Eukaryota,Detection Rate,0.13994273443092342
Class: Firmicutes-Other_Bacteria,Detection Rate,0.07283464566929133
Class: Other_Virus,Detection Rate,0.0066213314244810305
Class: Retro-Transcribing_Virus,Detection Rate,0.043664996420901936
Class: dsDNA_Virus,Detection Rate,0.14244810307802433
Class: ssRNA_negative,Detection Rate,0.15372226198997851
Class: ssRNA_positive,Detection Rate,0.23335719398711524
Class: Actinobacteria_Proteobacteria,Detection Prevalence,0.10808876163206872
Class: Eukaryota,Detection Prevalence,0.15497494631352898
Class: Firmicutes-Other_Bacteria,Detection Prevalence,0.0812455261274159
Class: Other_Virus,Detection Prevalence,0.006979241231209735
Class: Retro-Transcribing_Virus,Detection Prevalence,0.04438081603435934
Class: dsDNA_Virus,Detection Prevalence,0.16141732283464566
Class: ssRNA_negative,Detection Prevalence,0.16821760916249104
Class: ssRNA_positive,Detection Prevalence,0.2746957766642806
Class: Actinobacteria_Proteobacteria,Balanced Accuracy,0.9211788291900561
Class: Eukaryota,Balanced Accuracy,0.9441817947727565
Class: Firmicutes-Other_Bacteria,Balanced Accuracy,0.9149824946312155
Class: Other_Virus,Balanced Accuracy,0.6743458867098497
Class: Retro-Transcribing_Virus,Balanced Accuracy,0.8856965866963754
Class: dsDNA_Virus,Balanced Accuracy,0.9319064872899265
Class: ssRNA_negative,Balanced Accuracy,0.9263546072865971
Class: ssRNA_positive,Balanced Accuracy,0.9619777447299545
