Var1,Var2,Freq
Class: Chemical,Sensitivity,0.04395604395604396
Class: Model_Antigen,Sensitivity,0.6892307692307692
Class: Other,Sensitivity,0.3076923076923077
Class: Peptidic_Antigen,Sensitivity,0.7503949447077409
Class: Role,Sensitivity,0.5846153846153846
Class: Technique_Based,Sensitivity,0.8108527131782945
Class: Chemical,Specificity,1
Class: Model_Antigen,Specificity,0.9737373737373738
Class: Other,Specificity,0.9539406345957011
Class: Peptidic_Antigen,Specificity,0.7906698564593302
Class: Role,Specificity,0.952078239608802
Class: Technique_Based,Specificity,0.8620481927710844
Class: Chemical,Pos Pred Value,1
Class: Model_Antigen,Pos Pred Value,0.811594202898551
Class: Other,Pos Pred Value,0.5454545454545454
Class: Peptidic_Antigen,Pos Pred Value,0.5757575757575758
Class: Role,Pos Pred Value,0.6080000000000002
Class: Technique_Based,Pos Pred Value,0.6954787234042554
Class: Chemical,Neg Pred Value,0.9621903520208605
Class: Model_Antigen,Neg Pred Value,0.9502217841301134
Class: Other,Neg Pred Value,0.8846701471286189
Class: Peptidic_Antigen,Neg Pred Value,0.8932432432432432
Class: Role,Neg Pred Value,0.9474452554744526
Class: Technique_Based,Neg Pred Value,0.9214423696072119
Class: Chemical,Precision,1
Class: Model_Antigen,Precision,0.8115942028985508
Class: Other,Precision,0.5454545454545454
Class: Peptidic_Antigen,Precision,0.5757575757575758
Class: Role,Precision,0.608
Class: Technique_Based,Precision,0.6954787234042553
Class: Chemical,Recall,0.04395604395604396
Class: Model_Antigen,Recall,0.6892307692307692
Class: Other,Recall,0.3076923076923077
Class: Peptidic_Antigen,Recall,0.7503949447077409
Class: Role,Recall,0.5846153846153846
Class: Technique_Based,Recall,0.8108527131782945
Class: Chemical,F1,0.08421052631578947
Class: Model_Antigen,F1,0.745424292845258
Class: Other,F1,0.3934426229508197
Class: Peptidic_Antigen,F1,0.6515775034293553
Class: Role,F1,0.596078431372549
Class: Technique_Based,F1,0.7487473156764495
Class: Chemical,Prevalence,0.03947939262472885
Class: Model_Antigen,Prevalence,0.14099783080260303
Class: Other,Prevalence,0.15227765726681128
Class: Peptidic_Antigen,Prevalence,0.27462039045553144
Class: Role,Prevalence,0.11279826464208242
Class: Technique_Based,Prevalence,0.279826464208243
Class: Chemical,Detection Rate,0.0017353579175704988
Class: Model_Antigen,Detection Rate,0.09718004338394794
Class: Other,Detection Rate,0.04685466377440347
Class: Peptidic_Antigen,Detection Rate,0.20607375271149675
Class: Role,Detection Rate,0.06594360086767896
Class: Technique_Based,Detection Rate,0.22689804772234273
Class: Chemical,Detection Prevalence,0.0017353579175704988
Class: Model_Antigen,Detection Prevalence,0.11973969631236442
Class: Other,Detection Prevalence,0.0859002169197397
Class: Peptidic_Antigen,Detection Prevalence,0.3579175704989154
Class: Role,Detection Prevalence,0.10845986984815618
Class: Technique_Based,Detection Prevalence,0.3262472885032538
Class: Chemical,Balanced Accuracy,0.521978021978022
Class: Model_Antigen,Balanced Accuracy,0.8314840714840714
Class: Other,Balanced Accuracy,0.6308164711440044
Class: Peptidic_Antigen,Balanced Accuracy,0.7705324005835356
Class: Role,Balanced Accuracy,0.7683468121120933
Class: Technique_Based,Balanced Accuracy,0.8364504529746895
