Var1,Var2,Freq
Class: HBV,Sensitivity,0.9844559585492227
Class: HTLV,Sensitivity,0.8983050847457628
Class: LENTI,Sensitivity,0.5625
Class: RET,Sensitivity,0.6
Class: HBV,Specificity,0.8090909090909091
Class: HTLV,Specificity,0.9877049180327869
Class: LENTI,Specificity,0.9930313588850174
Class: RET,Specificity,0.9850746268656716
Class: HBV,Pos Pred Value,0.9004739336492892
Class: HTLV,Pos Pred Value,0.9464285714285716
Class: LENTI,Pos Pred Value,0.818181818181817
Class: RET,Pos Pred Value,0.8399999999999996
Class: HBV,Neg Pred Value,0.9673913043478258
Class: HTLV,Neg Pred Value,0.9757085020242915
Class: LENTI,Neg Pred Value,0.976027397260274
Class: RET,Neg Pred Value,0.9496402877697842
Class: HBV,Precision,0.9004739336492891
Class: HTLV,Precision,0.9464285714285714
Class: LENTI,Precision,0.8181818181818182
Class: RET,Precision,0.84
Class: HBV,Recall,0.9844559585492227
Class: HTLV,Recall,0.8983050847457628
Class: LENTI,Recall,0.5625
Class: RET,Recall,0.6
Class: HBV,F1,0.9405940594059407
Class: HTLV,F1,0.9217391304347826
Class: LENTI,F1,0.6666666666666666
Class: RET,F1,0.7000000000000001
Class: HBV,Prevalence,0.636963696369637
Class: HTLV,Prevalence,0.19471947194719472
Class: LENTI,Prevalence,0.052805280528052806
Class: RET,Prevalence,0.11551155115511551
Class: HBV,Detection Rate,0.6270627062706271
Class: HTLV,Detection Rate,0.17491749174917492
Class: LENTI,Detection Rate,0.0297029702970297
Class: RET,Detection Rate,0.06930693069306931
Class: HBV,Detection Prevalence,0.6963696369636964
Class: HTLV,Detection Prevalence,0.1848184818481848
Class: LENTI,Detection Prevalence,0.036303630363036306
Class: RET,Detection Prevalence,0.08250825082508251
Class: HBV,Balanced Accuracy,0.8967734338200659
Class: HTLV,Balanced Accuracy,0.9430050013892748
Class: LENTI,Balanced Accuracy,0.7777656794425087
Class: RET,Balanced Accuracy,0.7925373134328357
