Var1,Var2,Freq
Class: ARA,Sensitivity,0.875
Class: BET,Sensitivity,0.9444444444444444
Class: CED,Sensitivity,0.8666666666666667
Class: GLUT,Sensitivity,0.9529411764705882
Class: GRA,Sensitivity,0.9285714285714286
Class: LAT,Sensitivity,1
Class: OTPLA,Sensitivity,0.7931034482758621
Class: OTTREES,Sensitivity,0.3333333333333333
Class: ARA,Specificity,0.9702970297029703
Class: BET,Specificity,0.9814814814814815
Class: CED,Specificity,1
Class: GLUT,Specificity,1
Class: GRA,Specificity,0.9854368932038835
Class: LAT,Specificity,0.9956140350877193
Class: OTPLA,Specificity,0.9170731707317074
Class: OTTREES,Specificity,0.9906103286384976
Class: ARA,Pos Pred Value,0.8235294117647058
Class: BET,Pos Pred Value,0.8095238095238098
Class: CED,Pos Pred Value,1
Class: GLUT,Pos Pred Value,1
Class: GRA,Pos Pred Value,0.896551724137931
Class: LAT,Pos Pred Value,0.8571428571428568
Class: OTPLA,Pos Pred Value,0.5750000000000002
Class: OTTREES,Pos Pred Value,0.7777777777777773
Class: ARA,Neg Pred Value,0.98
Class: BET,Neg Pred Value,0.9953051643192489
Class: CED,Neg Pred Value,0.9909502262443439
Class: GLUT,Neg Pred Value,0.9738562091503267
Class: GRA,Neg Pred Value,0.9902439024390244
Class: LAT,Neg Pred Value,1
Class: OTPLA,Neg Pred Value,0.9690721649484536
Class: OTTREES,Neg Pred Value,0.9377777777777778
Class: ARA,Precision,0.8235294117647058
Class: BET,Precision,0.8095238095238095
Class: CED,Precision,1
Class: GLUT,Precision,1
Class: GRA,Precision,0.896551724137931
Class: LAT,Precision,0.8571428571428571
Class: OTPLA,Precision,0.575
Class: OTTREES,Precision,0.7777777777777778
Class: ARA,Recall,0.875
Class: BET,Recall,0.9444444444444444
Class: CED,Recall,0.8666666666666667
Class: GLUT,Recall,0.9529411764705882
Class: GRA,Recall,0.9285714285714286
Class: LAT,Recall,1
Class: OTPLA,Recall,0.7931034482758621
Class: OTTREES,Recall,0.3333333333333333
Class: ARA,F1,0.8484848484848485
Class: BET,F1,0.8717948717948718
Class: CED,F1,0.9285714285714286
Class: GLUT,F1,0.9759036144578312
Class: GRA,F1,0.912280701754386
Class: LAT,F1,0.923076923076923
Class: OTPLA,F1,0.6666666666666666
Class: OTTREES,F1,0.4666666666666666
Class: ARA,Prevalence,0.13675213675213677
Class: BET,Prevalence,0.07692307692307693
Class: CED,Prevalence,0.0641025641025641
Class: GLUT,Prevalence,0.36324786324786323
Class: GRA,Prevalence,0.11965811965811966
Class: LAT,Prevalence,0.02564102564102564
Class: OTPLA,Prevalence,0.12393162393162394
Class: OTTREES,Prevalence,0.08974358974358974
Class: ARA,Detection Rate,0.11965811965811966
Class: BET,Detection Rate,0.07264957264957266
Class: CED,Detection Rate,0.05555555555555555
Class: GLUT,Detection Rate,0.34615384615384615
Class: GRA,Detection Rate,0.1111111111111111
Class: LAT,Detection Rate,0.02564102564102564
Class: OTPLA,Detection Rate,0.09829059829059829
Class: OTTREES,Detection Rate,0.029914529914529916
Class: ARA,Detection Prevalence,0.1452991452991453
Class: BET,Detection Prevalence,0.08974358974358974
Class: CED,Detection Prevalence,0.05555555555555555
Class: GLUT,Detection Prevalence,0.34615384615384615
Class: GRA,Detection Prevalence,0.12393162393162394
Class: LAT,Detection Prevalence,0.029914529914529916
Class: OTPLA,Detection Prevalence,0.17094017094017094
Class: OTTREES,Detection Prevalence,0.038461538461538464
Class: ARA,Balanced Accuracy,0.9226485148514851
Class: BET,Balanced Accuracy,0.962962962962963
Class: CED,Balanced Accuracy,0.9333333333333333
Class: GLUT,Balanced Accuracy,0.9764705882352941
Class: GRA,Balanced Accuracy,0.957004160887656
Class: LAT,Balanced Accuracy,0.9978070175438596
Class: OTPLA,Balanced Accuracy,0.8550883095037847
Class: OTTREES,Balanced Accuracy,0.6619718309859155
