Var1,Var2,Freq
Class: H1N1,Sensitivity,0.038461538461538464
Class: H3N2,Sensitivity,0.025
Class: OTFLU,Sensitivity,0.9782178217821782
Class: OTMON,Sensitivity,0.8942307692307693
Class: OTORTHOM,Sensitivity,0
Class: OTssRNA-,Sensitivity,0.8135593220338984
Class: PARAV,Sensitivity,0.6695652173913044
Class: VSV,Sensitivity,0.7959183673469388
Class: H1N1,Specificity,0.9989361702127659
Class: H3N2,Specificity,1
Class: OTFLU,Specificity,0.704312114989733
Class: OTMON,Specificity,0.9740990990990991
Class: OTORTHOM,Specificity,1
Class: OTssRNA-,Specificity,0.9919908466819222
Class: PARAV,Specificity,0.9863169897377423
Class: VSV,Specificity,0.9968186638388123
Class: H1N1,Pos Pred Value,0.6666666666666606
Class: H3N2,Pos Pred Value,1
Class: OTFLU,Pos Pred Value,0.774294670846395
Class: OTMON,Pos Pred Value,0.8017241379310345
Class: OTORTHOM,Pos Pred Value,NA
Class: OTssRNA-,Pos Pred Value,0.9320388349514561
Class: PARAV,Pos Pred Value,0.8651685393258425
Class: VSV,Pos Pred Value,0.9285714285714295
Class: H1N1,Neg Pred Value,0.9494438827098078
Class: H3N2,Neg Pred Value,0.9606458123107972
Class: OTFLU,Neg Pred Value,0.9689265536723163
Class: OTMON,Neg Pred Value,0.9874429223744292
Class: OTORTHOM,Neg Pred Value,0.9909274193548387
Class: OTssRNA-,Neg Pred Value,0.9752530933633295
Class: PARAV,Neg Pred Value,0.9579180509413068
Class: VSV,Neg Pred Value,0.9894736842105263
Class: H1N1,Precision,0.6666666666666666
Class: H3N2,Precision,1
Class: OTFLU,Precision,0.774294670846395
Class: OTMON,Precision,0.8017241379310345
Class: OTORTHOM,Precision,NA
Class: OTssRNA-,Precision,0.9320388349514563
Class: PARAV,Precision,0.8651685393258427
Class: VSV,Precision,0.9285714285714286
Class: H1N1,Recall,0.038461538461538464
Class: H3N2,Recall,0.025
Class: OTFLU,Recall,0.9782178217821782
Class: OTMON,Recall,0.8942307692307693
Class: OTORTHOM,Recall,0
Class: OTssRNA-,Recall,0.8135593220338984
Class: PARAV,Recall,0.6695652173913044
Class: VSV,Recall,0.7959183673469388
Class: H1N1,F1,0.07272727272727274
Class: H3N2,F1,0.04878048780487806
Class: OTFLU,F1,0.8643919510061242
Class: OTMON,F1,0.8454545454545455
Class: OTORTHOM,F1,NA
Class: OTssRNA-,F1,0.8687782805429866
Class: PARAV,F1,0.7549019607843138
Class: VSV,F1,0.8571428571428572
Class: H1N1,Prevalence,0.05241935483870968
Class: H3N2,Prevalence,0.04032258064516129
Class: OTFLU,Prevalence,0.5090725806451613
Class: OTMON,Prevalence,0.10483870967741936
Class: OTORTHOM,Prevalence,0.009072580645161291
Class: OTssRNA-,Prevalence,0.11895161290322581
Class: PARAV,Prevalence,0.1159274193548387
Class: VSV,Prevalence,0.04939516129032258
Class: H1N1,Detection Rate,0.0020161290322580645
Class: H3N2,Detection Rate,0.0010080645161290322
Class: OTFLU,Detection Rate,0.49798387096774194
Class: OTMON,Detection Rate,0.09375
Class: OTORTHOM,Detection Rate,0
Class: OTssRNA-,Detection Rate,0.0967741935483871
Class: PARAV,Detection Rate,0.07762096774193548
Class: VSV,Detection Rate,0.03931451612903226
Class: H1N1,Detection Prevalence,0.0030241935483870967
Class: H3N2,Detection Prevalence,0.0010080645161290322
Class: OTFLU,Detection Prevalence,0.6431451612903226
Class: OTMON,Detection Prevalence,0.11693548387096774
Class: OTORTHOM,Detection Prevalence,0
Class: OTssRNA-,Detection Prevalence,0.10383064516129033
Class: PARAV,Detection Prevalence,0.08971774193548387
Class: VSV,Detection Prevalence,0.04233870967741935
Class: H1N1,Balanced Accuracy,0.5186988543371522
Class: H3N2,Balanced Accuracy,0.5125
Class: OTFLU,Balanced Accuracy,0.8412649683859557
Class: OTMON,Balanced Accuracy,0.9341649341649342
Class: OTORTHOM,Balanced Accuracy,0.5
Class: OTssRNA-,Balanced Accuracy,0.9027750843579103
Class: PARAV,Balanced Accuracy,0.8279411035645233
Class: VSV,Balanced Accuracy,0.8963685155928756
