Var1,Var2,Freq
Class: DENG,Sensitivity,0.9420289855072463
Class: HCV,Sensitivity,0.8689138576779026
Class: OTF,Sensitivity,0.8842105263157894
Class: OTssRNA+,Sensitivity,0.819047619047619
Class: PICO,Sensitivity,0.9238578680203046
Class: SARS,Sensitivity,0.9675174013921114
Class: DENG,Specificity,0.9966386554621849
Class: HCV,Specificity,0.9896324222431668
Class: OTF,Specificity,0.9806678383128296
Class: OTssRNA+,Specificity,0.9844644317252658
Class: PICO,Specificity,0.9840848806366048
Class: SARS,Specificity,0.9565217391304348
Class: DENG,Pos Pred Value,0.9701492537313433
Class: HCV,Pos Pred Value,0.9547325102880659
Class: OTF,Pos Pred Value,0.8842105263157896
Class: OTssRNA+,Pos Pred Value,0.8190476190476192
Class: PICO,Pos Pred Value,0.9100000000000001
Class: SARS,Pos Pred Value,0.9144736842105263
Class: DENG,Neg Pred Value,0.9932998324958124
Class: HCV,Neg Pred Value,0.967741935483871
Class: OTF,Neg Pred Value,0.9806678383128296
Class: OTssRNA+,Neg Pred Value,0.9844644317252658
Class: PICO,Neg Pred Value,0.9867021276595744
Class: SARS,Neg Pred Value,0.9839449541284403
Class: DENG,Precision,0.9701492537313433
Class: HCV,Precision,0.9547325102880658
Class: OTF,Precision,0.8842105263157894
Class: OTssRNA+,Precision,0.819047619047619
Class: PICO,Precision,0.91
Class: SARS,Precision,0.9144736842105263
Class: DENG,Recall,0.9420289855072463
Class: HCV,Recall,0.8689138576779026
Class: OTF,Recall,0.8842105263157894
Class: OTssRNA+,Recall,0.819047619047619
Class: PICO,Recall,0.9238578680203046
Class: SARS,Recall,0.9675174013921114
Class: DENG,F1,0.9558823529411764
Class: HCV,F1,0.9098039215686274
Class: OTF,F1,0.8842105263157894
Class: OTssRNA+,F1,0.819047619047619
Class: PICO,F1,0.9168765743073047
Class: SARS,F1,0.9402480270574972
Class: DENG,Prevalence,0.10391566265060241
Class: HCV,Prevalence,0.20105421686746988
Class: OTF,Prevalence,0.1430722891566265
Class: OTssRNA+,Prevalence,0.07906626506024096
Class: PICO,Prevalence,0.14834337349397592
Class: SARS,Prevalence,0.3245481927710843
Class: DENG,Detection Rate,0.09789156626506024
Class: HCV,Detection Rate,0.1746987951807229
Class: OTF,Detection Rate,0.12650602409638553
Class: OTssRNA+,Detection Rate,0.06475903614457831
Class: PICO,Detection Rate,0.13704819277108435
Class: SARS,Detection Rate,0.31400602409638556
Class: DENG,Detection Prevalence,0.10090361445783133
Class: HCV,Detection Prevalence,0.18298192771084337
Class: OTF,Detection Prevalence,0.1430722891566265
Class: OTssRNA+,Detection Prevalence,0.07906626506024096
Class: PICO,Detection Prevalence,0.15060240963855423
Class: SARS,Detection Prevalence,0.3433734939759036
Class: DENG,Balanced Accuracy,0.9693338204847156
Class: HCV,Balanced Accuracy,0.9292731399605347
Class: OTF,Balanced Accuracy,0.9324391823143094
Class: OTssRNA+,Balanced Accuracy,0.9017560253864424
Class: PICO,Balanced Accuracy,0.9539713743284547
Class: SARS,Balanced Accuracy,0.962019570261273
