Prediction,Reference,Freq
BETAAM,BETAAM,208
Diabetes,BETAAM,1
General_Autoimm,BETAAM,4
Lupus,BETAAM,2
MYA,BETAAM,0
Multiple_Sclerosis,BETAAM,0
RA,BETAAM,0
BETAAM,Diabetes,0
Diabetes,Diabetes,271
General_Autoimm,Diabetes,6
Lupus,Diabetes,0
MYA,Diabetes,0
Multiple_Sclerosis,Diabetes,1
RA,Diabetes,0
BETAAM,General_Autoimm,7
Diabetes,General_Autoimm,13
General_Autoimm,General_Autoimm,713
Lupus,General_Autoimm,29
MYA,General_Autoimm,0
Multiple_Sclerosis,General_Autoimm,19
RA,General_Autoimm,18
BETAAM,Lupus,0
Diabetes,Lupus,1
General_Autoimm,Lupus,36
Lupus,Lupus,213
MYA,Lupus,0
Multiple_Sclerosis,Lupus,2
RA,Lupus,2
BETAAM,MYA,0
Diabetes,MYA,0
General_Autoimm,MYA,1
Lupus,MYA,0
MYA,MYA,50
Multiple_Sclerosis,MYA,1
RA,MYA,0
BETAAM,Multiple_Sclerosis,0
Diabetes,Multiple_Sclerosis,0
General_Autoimm,Multiple_Sclerosis,16
Lupus,Multiple_Sclerosis,0
MYA,Multiple_Sclerosis,0
Multiple_Sclerosis,Multiple_Sclerosis,356
RA,Multiple_Sclerosis,0
BETAAM,RA,0
Diabetes,RA,1
General_Autoimm,RA,23
Lupus,RA,5
MYA,RA,0
Multiple_Sclerosis,RA,2
RA,RA,235
