Prediction,Reference,Freq
Chemical,Chemical,33
Model_Antigen,Chemical,4
Peptidic_Antigen,Chemical,34
Role,Chemical,20
Technique_Based,Chemical,6
Chemical,Model_Antigen,0
Model_Antigen,Model_Antigen,267
Peptidic_Antigen,Model_Antigen,36
Role,Model_Antigen,3
Technique_Based,Model_Antigen,23
Chemical,Peptidic_Antigen,10
Model_Antigen,Peptidic_Antigen,14
Peptidic_Antigen,Peptidic_Antigen,458
Role,Peptidic_Antigen,26
Technique_Based,Peptidic_Antigen,125
Chemical,Role,1
Model_Antigen,Role,11
Peptidic_Antigen,Role,44
Role,Role,188
Technique_Based,Role,12
Chemical,Technique_Based,3
Model_Antigen,Technique_Based,7
Peptidic_Antigen,Technique_Based,117
Role,Technique_Based,7
Technique_Based,Technique_Based,507
