Prediction,Reference,Freq
Allergen,Allergen,36
Autoimm,Allergen,1
Cancer,Allergen,0
Infectious_Disease,Allergen,0
Other,Allergen,3
Transplant,Allergen,0
Allergen,Autoimm,0
Autoimm,Autoimm,34
Cancer,Autoimm,1
Infectious_Disease,Autoimm,1
Other,Autoimm,3
Transplant,Autoimm,1
Allergen,Cancer,0
Autoimm,Cancer,1
Cancer,Cancer,36
Infectious_Disease,Cancer,0
Other,Cancer,3
Transplant,Cancer,0
Allergen,Infectious_Disease,0
Autoimm,Infectious_Disease,0
Cancer,Infectious_Disease,2
Infectious_Disease,Infectious_Disease,34
Other,Infectious_Disease,3
Transplant,Infectious_Disease,1
Allergen,Other,1
Autoimm,Other,3
Cancer,Other,2
Infectious_Disease,Other,2
Other,Other,29
Transplant,Other,3
Allergen,Transplant,0
Autoimm,Transplant,0
Cancer,Transplant,2
Infectious_Disease,Transplant,0
Other,Transplant,3
Transplant,Transplant,35
