Var1,Var2,Freq
Class: Allergen,Sensitivity,0.9
Class: Autoimm,Sensitivity,0.85
Class: Cancer,Sensitivity,0.9
Class: Infectious_Disease,Sensitivity,0.85
Class: Other,Sensitivity,0.725
Class: Transplant,Sensitivity,0.875
Class: Allergen,Specificity,0.995
Class: Autoimm,Specificity,0.975
Class: Cancer,Specificity,0.965
Class: Infectious_Disease,Specificity,0.985
Class: Other,Specificity,0.925
Class: Transplant,Specificity,0.975
Class: Allergen,Pos Pred Value,0.9729729729729729
Class: Autoimm,Pos Pred Value,0.8717948717948717
Class: Cancer,Pos Pred Value,0.8372093023255812
Class: Infectious_Disease,Pos Pred Value,0.9189189189189189
Class: Other,Pos Pred Value,0.6590909090909092
Class: Transplant,Pos Pred Value,0.8749999999999999
Class: Allergen,Neg Pred Value,0.980295566502463
Class: Autoimm,Neg Pred Value,0.9701492537313433
Class: Cancer,Neg Pred Value,0.9796954314720813
Class: Infectious_Disease,Neg Pred Value,0.9704433497536945
Class: Other,Neg Pred Value,0.9438775510204083
Class: Transplant,Neg Pred Value,0.975
Class: Allergen,Precision,0.972972972972973
Class: Autoimm,Precision,0.8717948717948718
Class: Cancer,Precision,0.8372093023255814
Class: Infectious_Disease,Precision,0.918918918918919
Class: Other,Precision,0.6590909090909091
Class: Transplant,Precision,0.875
Class: Allergen,Recall,0.9
Class: Autoimm,Recall,0.85
Class: Cancer,Recall,0.9
Class: Infectious_Disease,Recall,0.85
Class: Other,Recall,0.725
Class: Transplant,Recall,0.875
Class: Allergen,F1,0.935064935064935
Class: Autoimm,F1,0.8607594936708861
Class: Cancer,F1,0.8674698795180723
Class: Infectious_Disease,F1,0.8831168831168831
Class: Other,F1,0.6904761904761905
Class: Transplant,F1,0.875
Class: Allergen,Prevalence,0.16666666666666666
Class: Autoimm,Prevalence,0.16666666666666666
Class: Cancer,Prevalence,0.16666666666666666
Class: Infectious_Disease,Prevalence,0.16666666666666666
Class: Other,Prevalence,0.16666666666666666
Class: Transplant,Prevalence,0.16666666666666666
Class: Allergen,Detection Rate,0.15
Class: Autoimm,Detection Rate,0.14166666666666666
Class: Cancer,Detection Rate,0.15
Class: Infectious_Disease,Detection Rate,0.14166666666666666
Class: Other,Detection Rate,0.12083333333333333
Class: Transplant,Detection Rate,0.14583333333333334
Class: Allergen,Detection Prevalence,0.15416666666666667
Class: Autoimm,Detection Prevalence,0.1625
Class: Cancer,Detection Prevalence,0.17916666666666667
Class: Infectious_Disease,Detection Prevalence,0.15416666666666667
Class: Other,Detection Prevalence,0.18333333333333332
Class: Transplant,Detection Prevalence,0.16666666666666666
Class: Allergen,Balanced Accuracy,0.9475
Class: Autoimm,Balanced Accuracy,0.9125
Class: Cancer,Balanced Accuracy,0.9325
Class: Infectious_Disease,Balanced Accuracy,0.9175
Class: Other,Balanced Accuracy,0.825
Class: Transplant,Balanced Accuracy,0.925
